timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T19:39:43.679499,M3_NEUTRAL_POSITION,0.58,0.58,-0.45,0.97,-0.06,-0.65,-4.81,0.71,49.29
2026-07-15T19:39:43.732233,M3_NEUTRAL_POSITION,0.45,0.45,-0.45,0.91,0.0,-0.65,-4.94,0.71,49.29
2026-07-15T19:39:43.785199,M3_NEUTRAL_POSITION,0.58,0.65,-0.39,0.97,0.13,-0.65,-4.94,0.78,49.22
2026-07-15T19:39:43.838044,M3_NEUTRAL_POSITION,0.52,0.52,-0.45,0.97,0.06,-0.65,-4.94,0.71,49.22
2026-07-15T19:39:43.890987,M3_NEUTRAL_POSITION,0.52,0.65,-0.32,1.04,-0.06,-0.52,-5.0,0.84,49.22
2026-07-15T19:39:43.944289,M3_NEUTRAL_POSITION,0.52,0.65,-0.32,0.91,0.06,-0.58,-4.87,0.78,49.16
2026-07-15T19:39:43.996758,M3_NEUTRAL_POSITION,0.45,0.58,-0.39,0.97,0.06,-0.65,-4.94,0.84,49.29
2026-07-15T19:39:44.049812,M3_NEUTRAL_POSITION,0.52,0.58,-0.45,0.97,0.0,-0.58,-4.94,0.84,49.22
2026-07-15T19:39:44.102305,M3_NEUTRAL_POSITION,0.58,0.65,-0.45,0.91,-0.06,-0.58,-4.87,0.78,49.35
2026-07-15T19:39:44.155943,M3_NEUTRAL_POSITION,0.58,0.65,-0.45,0.91,0.0,-0.58,-5.0,0.78,49.29
2026-07-15T19:39:44.208504,M3_NEUTRAL_POSITION,0.52,0.52,-0.45,0.91,-0.13,-0.65,-4.81,0.84,49.16
2026-07-15T19:39:44.286371,M3_NEUTRAL_POSITION,0.58,0.58,-0.45,0.91,0.06,-0.65,-5.0,0.71,49.22
2026-07-15T19:39:44.314138,M3_NEUTRAL_POSITION,0.52,0.58,-0.45,0.91,-0.06,-0.65,-4.87,0.91,49.22
2026-07-15T19:39:44.367249,M3_NEUTRAL_POSITION,0.45,0.52,-0.52,0.91,-0.06,-0.58,-4.94,0.71,49.22
2026-07-15T19:39:44.419323,M3_NEUTRAL_POSITION,0.52,0.58,-0.52,0.97,0.19,-0.71,-4.81,0.71,49.29
2026-07-15T19:39:44.472103,M3_NEUTRAL_POSITION,0.39,0.58,-0.39,0.91,-0.13,-0.65,-4.87,0.78,49.29
2026-07-15T19:39:44.525055,M3_NEUTRAL_POSITION,0.58,0.58,-0.32,0.97,0.0,-0.58,-4.87,0.91,49.29
2026-07-15T19:39:44.577864,M3_NEUTRAL_POSITION,0.52,0.58,-0.45,0.84,0.06,-0.71,-4.94,0.78,49.29
2026-07-15T19:39:44.630699,M3_NEUTRAL_POSITION,0.39,0.58,-0.45,0.91,-0.06,-0.65,-4.94,0.71,49.22
2026-07-15T19:39:44.684216,M3_NEUTRAL_POSITION,0.52,0.52,-0.45,0.91,-0.06,-0.65,-4.94,0.78,49.16
