timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T20:23:35.510613,ALL_X-3mm,-20.91,1.1,35.58,-19.87,-0.39,37.86,-20.65,0.65,33.25
2026-07-15T20:23:35.563718,ALL_X-3mm,-20.91,1.1,35.58,-20.0,-0.39,37.99,-20.58,0.78,33.25
2026-07-15T20:23:35.616765,ALL_X-3mm,-20.91,1.1,35.52,-20.06,-0.32,37.92,-20.71,0.71,33.25
2026-07-15T20:23:35.669877,ALL_X-3mm,-20.97,1.04,35.65,-19.94,-0.32,37.99,-20.65,0.65,33.31
2026-07-15T20:23:35.722038,ALL_X-3mm,-20.97,1.1,35.65,-20.0,-0.26,37.99,-20.71,0.52,33.25
2026-07-15T20:23:35.775183,ALL_X-3mm,-20.91,0.97,35.58,-20.0,-0.45,37.92,-20.71,0.58,33.31
2026-07-15T20:23:35.828149,ALL_X-3mm,-20.91,1.1,35.65,-20.0,-0.39,37.99,-20.65,0.58,33.25
2026-07-15T20:23:35.881300,ALL_X-3mm,-20.91,1.1,35.65,-19.94,-0.19,37.92,-20.65,0.58,33.18
2026-07-15T20:23:35.933445,ALL_X-3mm,-20.84,0.97,35.71,-19.81,-0.26,37.99,-20.65,0.58,33.18
2026-07-15T20:23:35.987261,ALL_X-3mm,-20.97,1.1,35.52,-20.0,-0.32,37.92,-20.58,0.58,33.31
2026-07-15T20:23:36.040254,ALL_X-3mm,-20.84,1.17,35.58,-20.06,-0.32,37.92,-20.78,0.65,33.31
2026-07-15T20:23:36.092350,ALL_X-3mm,-20.91,0.97,35.65,-19.87,-0.26,37.92,-20.65,0.65,33.38
2026-07-15T20:23:36.145433,ALL_X-3mm,-21.04,1.04,35.65,-19.87,-0.32,37.92,-20.65,0.65,33.44
2026-07-15T20:23:36.198004,ALL_X-3mm,-20.91,1.1,35.58,-20.06,-0.26,37.92,-20.58,0.71,33.31
2026-07-15T20:23:36.251555,ALL_X-3mm,-20.84,0.97,35.58,-19.94,-0.32,37.92,-20.65,0.71,33.31
2026-07-15T20:23:36.303790,ALL_X-3mm,-20.91,1.04,35.65,-20.06,-0.32,37.92,-20.71,0.65,33.31
2026-07-15T20:23:36.384033,ALL_X-3mm,-20.91,1.17,35.52,-20.06,-0.39,37.99,-20.65,0.65,33.18
2026-07-15T20:23:36.409527,ALL_X-3mm,-20.78,1.1,35.52,-19.87,-0.39,37.92,-20.65,0.65,33.18
2026-07-15T20:23:36.462436,ALL_X-3mm,-20.84,1.1,35.58,-20.0,-0.32,37.92,-20.78,0.58,33.38
2026-07-15T20:23:36.515858,ALL_X-3mm,-20.78,0.91,35.58,-20.0,-0.32,37.92,-20.65,0.71,33.31
2026-07-15T20:23:36.568929,ALL_X-3mm,-20.91,1.04,35.52,-20.06,-0.19,37.99,-20.78,0.58,33.38
2026-07-15T20:23:36.621984,ALL_X-3mm,-20.91,0.97,35.65,-19.94,-0.32,37.92,-20.71,0.52,33.31
2026-07-15T20:23:36.674011,ALL_X-3mm,-20.97,1.04,35.52,-20.0,-0.32,37.92,-20.71,0.71,33.31
2026-07-15T20:23:36.727363,ALL_X-3mm,-20.84,0.97,35.58,-20.0,-0.39,37.92,-20.71,0.58,33.25
2026-07-15T20:23:36.779879,ALL_X-3mm,-20.84,1.17,35.58,-20.0,-0.39,37.86,-20.65,0.58,33.31
2026-07-15T20:23:36.832875,ALL_X-3mm,-20.84,1.1,35.58,-20.0,-0.32,37.99,-20.71,0.58,33.25
2026-07-15T20:23:36.885823,ALL_X-3mm,-20.91,1.04,35.58,-20.0,-0.32,37.92,-20.71,0.52,33.25
2026-07-15T20:23:36.938475,ALL_X-3mm,-20.91,1.04,35.58,-20.0,-0.32,37.92,-20.65,0.58,33.31
2026-07-15T20:23:36.997380,ALL_X-3mm,-20.91,0.91,35.58,-20.06,-0.32,37.92,-20.71,0.71,33.31
2026-07-15T20:23:37.044520,ALL_X-3mm,-20.91,1.04,35.52,-20.06,-0.26,37.99,-20.58,0.58,33.25
2026-07-15T20:23:37.097570,ALL_X-3mm,-20.91,1.1,35.58,-19.94,-0.32,37.92,-20.65,0.58,33.25
2026-07-15T20:23:37.150769,ALL_X-3mm,-20.91,1.1,35.58,-20.06,-0.26,37.86,-20.71,0.52,33.18
