timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T21:03:23.470551,ALL_Y-1.5mm,-2.73,-10.06,48.31,-2.86,-13.9,49.29,-4.35,-11.1,45.84
2026-07-15T21:03:23.517025,ALL_Y-1.5mm,-2.66,-10.06,48.38,-2.73,-13.77,49.29,-4.22,-11.17,45.97
2026-07-15T21:03:23.570773,ALL_Y-1.5mm,-2.66,-10.19,48.38,-2.73,-13.9,49.35,-4.35,-11.04,45.91
2026-07-15T21:03:23.622741,ALL_Y-1.5mm,-2.73,-10.13,48.31,-2.73,-13.96,49.35,-4.35,-11.04,46.04
2026-07-15T21:03:23.675902,ALL_Y-1.5mm,-2.6,-10.0,48.38,-2.79,-13.9,49.29,-4.29,-10.97,46.1
2026-07-15T21:03:23.728868,ALL_Y-1.5mm,-2.66,-10.19,48.31,-2.79,-13.77,49.35,-4.22,-11.1,45.97
2026-07-15T21:03:23.782021,ALL_Y-1.5mm,-2.79,-10.06,48.25,-2.86,-13.83,49.35,-4.35,-11.17,46.17
2026-07-15T21:03:23.835189,ALL_Y-1.5mm,-2.73,-10.0,48.31,-2.73,-13.9,49.29,-4.09,-11.23,45.97
2026-07-15T21:03:23.887015,ALL_Y-1.5mm,-2.66,-10.06,48.44,-2.79,-13.9,49.42,-4.22,-11.23,45.97
2026-07-15T21:03:23.940126,ALL_Y-1.5mm,-2.79,-10.0,48.25,-2.73,-13.9,49.35,-4.42,-11.17,46.04
2026-07-15T21:03:23.993219,ALL_Y-1.5mm,-2.73,-10.13,48.38,-2.86,-13.9,49.29,-4.22,-11.1,45.91
2026-07-15T21:03:24.045692,ALL_Y-1.5mm,-2.73,-10.06,48.31,-2.79,-13.96,49.35,-4.35,-11.04,46.1
2026-07-15T21:03:24.099414,ALL_Y-1.5mm,-2.73,-10.13,48.25,-2.79,-13.9,49.42,-4.35,-11.1,46.04
2026-07-15T21:03:24.152426,ALL_Y-1.5mm,-2.73,-10.06,48.31,-2.79,-13.96,49.35,-4.35,-11.17,46.04
2026-07-15T21:03:24.204439,ALL_Y-1.5mm,-2.79,-10.13,48.44,-2.86,-13.9,49.29,-4.29,-11.17,46.04
2026-07-15T21:03:24.266660,ALL_Y-1.5mm,-2.79,-10.06,48.31,-2.86,-13.9,49.29,-4.35,-11.1,46.17
2026-07-15T21:03:24.310138,ALL_Y-1.5mm,-2.73,-10.13,48.25,-2.79,-13.83,49.35,-4.29,-11.1,46.17
2026-07-15T21:03:24.428269,ALL_Y-1.5mm,-2.73,-10.06,48.38,-2.79,-13.77,49.22,-4.35,-10.97,45.97
2026-07-15T21:03:24.428566,ALL_Y-1.5mm,-2.6,-10.06,48.25,-2.86,-13.77,49.35,-4.35,-11.1,45.91
2026-07-15T21:03:24.468631,ALL_Y-1.5mm,-2.79,-10.13,48.31,-2.86,-13.9,49.35,-4.29,-11.17,46.04
2026-07-15T21:03:24.523062,ALL_Y-1.5mm,-2.6,-10.13,48.38,-2.86,-13.9,49.42,-4.42,-11.1,46.04
2026-07-15T21:03:24.574509,ALL_Y-1.5mm,-2.66,-10.0,48.38,-2.86,-13.9,49.29,-4.35,-11.1,45.97
2026-07-15T21:03:24.627354,ALL_Y-1.5mm,-2.66,-10.0,48.38,-2.86,-13.96,49.35,-4.29,-11.23,45.97
