timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T21:20:34.013391,ALL_RY-12deg,16.56,0.91,39.09,69.68,-2.21,98.7,4.68,-0.52,18.05
2026-07-15T21:20:34.066564,ALL_RY-12deg,16.49,1.04,39.09,69.55,-2.21,98.77,4.48,-0.39,17.99
2026-07-15T21:20:34.119038,ALL_RY-12deg,16.56,0.97,39.09,69.68,-2.08,98.7,4.48,-0.39,17.99
2026-07-15T21:20:34.172273,ALL_RY-12deg,16.49,1.04,39.09,69.55,-2.21,98.7,4.48,-0.32,17.92
2026-07-15T21:20:34.224670,ALL_RY-12deg,16.49,1.04,39.03,69.55,-2.27,98.77,4.48,-0.45,17.92
2026-07-15T21:20:34.278621,ALL_RY-12deg,16.49,1.1,39.09,69.55,-2.14,98.7,4.48,-0.45,18.05
2026-07-15T21:20:34.330004,ALL_RY-12deg,16.43,0.97,39.16,69.55,-2.14,98.77,4.48,-0.45,17.99
2026-07-15T21:20:34.427984,ALL_RY-12deg,16.56,1.1,39.09,69.61,-2.21,98.64,4.42,-0.45,17.99
2026-07-15T21:20:34.452730,ALL_RY-12deg,16.56,0.97,39.16,69.55,-2.21,98.7,4.48,-0.45,17.99
2026-07-15T21:20:34.490514,ALL_RY-12deg,16.43,1.1,39.09,69.55,-2.21,98.7,4.48,-0.39,17.92
2026-07-15T21:20:34.541238,ALL_RY-12deg,16.36,1.1,39.16,69.61,-2.14,98.7,4.42,-0.39,18.05
2026-07-15T21:20:34.594139,ALL_RY-12deg,16.56,1.04,39.09,69.61,-2.08,98.64,4.48,-0.45,17.92
2026-07-15T21:20:34.647181,ALL_RY-12deg,16.49,1.04,39.16,69.55,-2.27,98.7,4.42,-0.45,18.12
2026-07-15T21:20:34.700251,ALL_RY-12deg,16.43,0.97,39.16,69.61,-2.21,98.7,4.42,-0.45,18.18
2026-07-15T21:20:34.752676,ALL_RY-12deg,16.49,0.97,39.09,69.61,-2.34,98.64,4.55,-0.32,17.92
2026-07-15T21:20:34.805620,ALL_RY-12deg,16.62,1.1,39.16,69.61,-2.21,98.77,4.42,-0.39,18.05
2026-07-15T21:20:34.858689,ALL_RY-12deg,16.56,0.97,39.16,69.61,-2.14,98.64,4.42,-0.32,17.92
2026-07-15T21:20:34.911486,ALL_RY-12deg,16.56,1.04,39.03,69.61,-2.14,98.7,4.55,-0.52,17.99
2026-07-15T21:20:34.964698,ALL_RY-12deg,16.43,1.04,39.09,69.55,-2.21,98.7,4.42,-0.45,18.05
2026-07-15T21:20:35.017652,ALL_RY-12deg,16.49,1.04,39.09,69.55,-2.21,98.57,4.48,-0.45,17.99
2026-07-15T21:20:35.069830,ALL_RY-12deg,16.43,1.04,39.09,69.68,-2.27,98.7,4.48,-0.45,17.99
