timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T22:00:34.707911,ALL_NEUTRAL_POSITION,-3.57,0.71,50.97,-2.92,-2.27,54.55,-4.42,1.04,49.09
2026-07-15T22:00:34.760994,ALL_NEUTRAL_POSITION,-3.57,0.65,50.97,-3.05,-2.34,54.48,-4.35,1.1,49.16
2026-07-15T22:00:34.814114,ALL_NEUTRAL_POSITION,-3.57,0.71,51.1,-2.99,-2.27,54.48,-4.22,1.04,49.22
2026-07-15T22:00:34.867435,ALL_NEUTRAL_POSITION,-3.57,0.78,51.1,-2.99,-2.4,54.42,-4.42,1.04,49.22
2026-07-15T22:00:34.919556,ALL_NEUTRAL_POSITION,-3.64,0.65,50.97,-2.99,-2.27,54.48,-4.42,0.97,49.16
2026-07-15T22:00:34.972458,ALL_NEUTRAL_POSITION,-3.64,0.65,50.97,-2.99,-2.27,54.42,-4.42,1.1,49.22
2026-07-15T22:00:35.025266,ALL_NEUTRAL_POSITION,-3.77,0.65,50.91,-3.05,-2.34,54.48,-4.35,1.1,49.22
2026-07-15T22:00:35.078081,ALL_NEUTRAL_POSITION,-3.51,0.78,50.97,-2.99,-2.34,54.48,-4.48,1.04,49.29
2026-07-15T22:00:35.130492,ALL_NEUTRAL_POSITION,-3.57,0.58,51.04,-2.99,-2.27,54.55,-4.48,1.1,49.29
2026-07-15T22:00:35.183503,ALL_NEUTRAL_POSITION,-3.57,0.71,50.97,-3.05,-2.27,54.55,-4.35,1.1,49.35
2026-07-15T22:00:35.236515,ALL_NEUTRAL_POSITION,-3.57,0.58,51.04,-2.99,-2.4,54.48,-4.48,1.04,49.22
2026-07-15T22:00:35.288795,ALL_NEUTRAL_POSITION,-3.7,0.78,50.97,-2.99,-2.34,54.42,-4.35,1.1,49.29
2026-07-15T22:00:35.341927,ALL_NEUTRAL_POSITION,-3.64,0.71,50.97,-2.99,-2.34,54.61,-4.48,1.04,49.29
2026-07-15T22:00:35.490376,ALL_NEUTRAL_POSITION,-3.57,0.52,50.91,-2.99,-2.27,54.48,-4.42,1.17,49.22
2026-07-15T22:00:35.490554,ALL_NEUTRAL_POSITION,-3.57,0.71,50.97,-2.99,-2.27,54.48,-4.35,1.1,49.22
