timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T19:50:18.596565,ALL_RZ120deg,-2.34,0.58,50.32,-2.27,-3.25,51.43,-5.58,1.62,50.71
2026-07-15T19:50:18.649271,ALL_RZ120deg,-2.21,0.39,50.39,-2.27,-3.25,51.56,-5.52,1.69,50.71
2026-07-15T19:50:18.702252,ALL_RZ120deg,-2.14,0.52,50.45,-2.14,-3.31,51.43,-5.45,1.56,50.78
2026-07-15T19:50:18.755046,ALL_RZ120deg,-2.14,0.52,50.39,-2.27,-3.44,51.56,-5.45,1.69,50.71
2026-07-15T19:50:18.807926,ALL_RZ120deg,-2.27,0.52,50.39,-2.14,-3.25,51.49,-5.52,1.75,50.78
2026-07-15T19:50:18.861377,ALL_RZ120deg,-2.27,0.58,50.39,-2.21,-3.31,51.49,-5.52,1.75,50.65
2026-07-15T19:50:18.913768,ALL_RZ120deg,-2.34,0.58,50.45,-2.14,-3.31,51.49,-5.39,1.62,50.78
2026-07-15T19:50:18.968644,ALL_RZ120deg,-2.21,0.65,50.39,-2.14,-3.38,51.49,-5.65,1.69,50.78
2026-07-15T19:50:19.019227,ALL_RZ120deg,-2.14,0.58,50.45,-2.14,-3.31,51.43,-5.52,1.75,50.78
2026-07-15T19:50:19.072542,ALL_RZ120deg,-2.34,0.45,50.45,-2.14,-3.25,51.56,-5.45,1.69,50.65
2026-07-15T19:50:19.125245,ALL_RZ120deg,-2.34,0.58,50.45,-2.21,-3.25,51.49,-5.45,1.75,50.71
2026-07-15T19:50:19.177621,ALL_RZ120deg,-2.27,0.58,50.45,-2.27,-3.31,51.49,-5.52,1.62,50.78
2026-07-15T19:50:19.230435,ALL_RZ120deg,-2.27,0.52,50.39,-2.21,-3.31,51.62,-5.39,1.69,50.71
2026-07-15T19:50:19.283120,ALL_RZ120deg,-2.27,0.52,50.39,-2.14,-3.38,51.49,-5.52,1.62,50.78
2026-07-15T19:50:19.337004,ALL_RZ120deg,-2.21,0.45,50.39,-2.27,-3.31,51.49,-5.45,1.69,50.71
2026-07-15T19:50:19.389576,ALL_RZ120deg,-2.21,0.52,50.45,-2.21,-3.38,51.56,-5.39,1.62,50.78
2026-07-15T19:50:19.442637,ALL_RZ120deg,-2.21,0.71,50.45,-2.21,-3.25,51.43,-5.52,1.62,50.84
2026-07-15T19:50:19.494817,ALL_RZ120deg,-2.21,0.58,50.45,-2.21,-3.31,51.56,-5.39,1.69,50.78
2026-07-15T19:50:19.547855,ALL_RZ120deg,-2.27,0.58,50.39,-2.14,-3.31,51.49,-5.52,1.62,50.78
2026-07-15T19:50:19.600465,ALL_RZ120deg,-2.14,0.65,50.32,-2.14,-3.38,51.49,-5.45,1.62,50.84
2026-07-15T19:50:19.653103,ALL_RZ120deg,-2.34,0.58,50.45,-2.21,-3.44,51.56,-5.45,1.62,50.84
2026-07-15T19:50:19.705985,ALL_RZ120deg,-2.27,0.52,50.45,-2.21,-3.38,51.56,-5.52,1.49,50.78
2026-07-15T19:50:19.759359,ALL_RZ120deg,-2.21,0.52,50.39,-2.21,-3.31,51.43,-5.52,1.69,50.65
2026-07-15T19:50:19.812431,ALL_RZ120deg,-2.34,0.45,50.32,-2.21,-3.31,51.49,-5.58,1.75,50.97
2026-07-15T19:50:19.865300,ALL_RZ120deg,-2.27,0.45,50.39,-2.21,-3.31,51.43,-5.52,1.62,50.71
2026-07-15T19:50:19.918291,ALL_RZ120deg,-2.27,0.52,50.52,-2.08,-3.44,51.49,-5.45,1.62,50.78
2026-07-15T19:50:19.970881,ALL_RZ120deg,-2.34,0.58,50.32,-2.27,-3.18,51.56,-5.58,1.75,50.84
2026-07-15T19:50:20.023351,ALL_RZ120deg,-2.34,0.52,50.45,-2.14,-3.38,51.56,-5.45,1.62,50.71
2026-07-15T19:50:20.076507,ALL_RZ120deg,-2.27,0.45,50.45,-2.14,-3.38,51.49,-5.58,1.56,50.65
2026-07-15T19:50:20.129134,ALL_RZ120deg,-2.27,0.58,50.39,-2.27,-3.38,51.49,-5.58,1.69,50.78
2026-07-15T19:50:20.182173,ALL_RZ120deg,-2.27,0.58,50.39,-2.01,-3.31,51.49,-5.39,1.62,50.78
2026-07-15T19:50:20.235219,ALL_RZ120deg,-2.14,0.45,50.39,-2.14,-3.25,51.49,-5.45,1.69,50.84
2026-07-15T19:50:20.288721,ALL_RZ120deg,-2.27,0.39,50.39,-2.34,-3.38,51.43,-5.52,1.69,50.78
2026-07-15T19:50:20.344820,ALL_RZ120deg,-2.27,0.58,50.45,-2.14,-3.44,51.43,-5.58,1.62,50.78
2026-07-15T19:50:20.393547,ALL_RZ120deg,-2.27,0.52,50.32,-2.14,-3.31,51.56,-5.45,1.62,50.65
2026-07-15T19:50:20.446472,ALL_RZ120deg,-2.27,0.45,50.39,-2.21,-3.38,51.43,-5.52,1.75,50.78
2026-07-15T19:50:20.499358,ALL_RZ120deg,-2.27,0.65,50.39,-2.08,-3.31,51.49,-5.58,1.62,50.65
2026-07-15T19:50:20.552267,ALL_RZ120deg,-2.08,0.45,50.32,-2.14,-3.38,51.49,-5.45,1.69,50.78
2026-07-15T19:50:20.605127,ALL_RZ120deg,-2.27,0.58,50.32,-2.27,-3.31,51.56,-5.58,1.75,50.71
2026-07-15T19:50:20.657954,ALL_RZ120deg,-2.27,0.58,50.32,-2.21,-3.18,51.49,-5.45,1.69,50.65
2026-07-15T19:50:20.710983,ALL_RZ120deg,-2.27,0.58,50.32,-2.21,-3.31,51.49,-5.52,1.62,50.84
2026-07-15T19:50:20.764399,ALL_RZ120deg,-2.27,0.65,50.39,-2.21,-3.44,51.49,-5.52,1.75,50.71
2026-07-15T19:50:20.817586,ALL_RZ120deg,-2.27,0.52,50.32,-2.21,-3.38,51.56,-5.52,1.62,50.78
2026-07-15T19:50:20.870337,ALL_RZ120deg,-2.27,0.65,50.39,-2.21,-3.31,51.49,-5.58,1.56,50.84
2026-07-15T19:50:20.923474,ALL_RZ120deg,-2.21,0.65,50.39,-2.14,-3.31,51.49,-5.39,1.69,50.84
2026-07-15T19:50:20.975424,ALL_RZ120deg,-2.34,0.65,50.39,-2.27,-3.44,51.56,-5.39,1.75,50.91
2026-07-15T19:50:21.028263,ALL_RZ120deg,-2.21,0.52,50.39,-2.27,-3.44,51.43,-5.39,1.62,50.91
2026-07-15T19:50:21.081270,ALL_RZ120deg,-2.27,0.58,50.39,-2.14,-3.44,51.43,-5.52,1.69,50.65
2026-07-15T19:50:21.134582,ALL_RZ120deg,-2.21,0.58,50.39,-2.14,-3.38,51.43,-5.58,1.56,50.78
2026-07-15T19:50:21.187979,ALL_RZ120deg,-2.14,0.58,50.39,-2.27,-3.44,51.43,-5.52,1.56,50.78
2026-07-15T19:50:21.240413,ALL_RZ120deg,-2.27,0.45,50.39,-2.14,-3.51,51.49,-5.45,1.62,50.71
2026-07-15T19:50:21.293260,ALL_RZ120deg,-2.21,0.45,50.45,-2.21,-3.31,51.62,-5.45,1.69,50.78
2026-07-15T19:50:21.366638,ALL_RZ120deg,-2.27,0.52,50.32,-2.27,-3.31,51.43,-5.52,1.75,50.91
2026-07-15T19:50:21.398366,ALL_RZ120deg,-2.21,0.52,50.32,-2.14,-3.44,51.49,-5.45,1.62,50.65
2026-07-15T19:50:21.452134,ALL_RZ120deg,-2.21,0.45,50.39,-2.27,-3.25,51.56,-5.52,1.69,50.65
2026-07-15T19:50:21.504500,ALL_RZ120deg,-2.27,0.39,50.45,-2.27,-3.38,51.49,-5.45,1.75,50.71
2026-07-15T19:50:21.559533,ALL_RZ120deg,-2.27,0.58,50.39,-2.21,-3.38,51.49,-5.58,1.62,50.65
2026-07-15T19:50:21.610311,ALL_RZ120deg,-2.27,0.58,50.45,-2.14,-3.25,51.56,-5.45,1.56,50.58
2026-07-15T19:50:21.662486,ALL_RZ120deg,-2.47,0.45,50.39,-2.21,-3.31,51.43,-5.52,1.69,50.65
2026-07-15T19:50:21.715348,ALL_RZ120deg,-2.27,0.52,50.45,-2.27,-3.38,51.43,-5.45,1.62,50.84
2026-07-15T19:50:21.768102,ALL_RZ120deg,-2.34,0.58,50.45,-2.14,-3.44,51.56,-5.45,1.49,50.91
2026-07-15T19:50:21.821720,ALL_RZ120deg,-2.21,0.58,50.45,-2.14,-3.44,51.56,-5.45,1.62,50.78
2026-07-15T19:50:21.874282,ALL_RZ120deg,-2.14,0.58,50.32,-2.14,-3.44,51.49,-5.52,1.75,50.84
2026-07-15T19:50:21.926984,ALL_RZ120deg,-2.14,0.58,50.32,-2.14,-3.38,51.49,-5.58,1.75,50.84
2026-07-15T19:50:21.980008,ALL_RZ120deg,-2.4,0.45,50.45,-2.21,-3.44,51.49,-5.39,1.75,50.71
2026-07-15T19:50:22.032373,ALL_RZ120deg,-2.34,0.52,50.32,-2.14,-3.38,51.43,-5.58,1.62,50.91
2026-07-15T19:50:22.084888,ALL_RZ120deg,-2.21,0.65,50.45,-2.21,-3.31,51.49,-5.39,1.62,50.78
2026-07-15T19:50:22.137916,ALL_RZ120deg,-2.27,0.45,50.45,-2.21,-3.25,51.49,-5.58,1.62,50.71
2026-07-15T19:50:22.191068,ALL_RZ120deg,-2.27,0.52,50.39,-2.21,-3.38,51.49,-5.45,1.75,50.78
2026-07-15T19:50:22.243855,ALL_RZ120deg,-2.34,0.52,50.39,-2.21,-3.38,51.49,-5.39,1.62,50.78
