timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T20:16:59.633032,ALL_X3mm,16.88,1.04,40.71,19.55,-1.43,44.48,15.52,0.65,39.35
2026-07-15T20:16:59.686069,ALL_X3mm,17.01,1.17,40.84,19.61,-1.43,44.48,15.52,0.65,39.42
2026-07-15T20:16:59.738023,ALL_X3mm,17.01,1.23,40.78,19.61,-1.56,44.48,15.58,0.58,39.48
2026-07-15T20:16:59.790746,ALL_X3mm,16.88,0.97,40.71,19.61,-1.62,44.55,15.58,0.78,39.42
2026-07-15T20:16:59.844089,ALL_X3mm,16.95,1.04,40.78,19.68,-1.62,44.42,15.58,0.71,39.42
2026-07-15T20:16:59.896842,ALL_X3mm,17.01,0.91,40.65,19.55,-1.56,44.61,15.39,0.58,39.22
2026-07-15T20:16:59.949733,ALL_X3mm,16.95,0.97,40.78,19.55,-1.56,44.48,15.58,0.65,39.42
2026-07-15T20:17:00.004419,ALL_X3mm,17.01,1.1,40.78,19.61,-1.75,44.48,15.58,0.52,39.42
2026-07-15T20:17:00.054492,ALL_X3mm,16.88,0.97,40.78,19.55,-1.56,44.48,15.58,0.52,39.35
2026-07-15T20:17:00.107391,ALL_X3mm,16.95,1.1,40.78,19.55,-1.49,44.42,15.52,0.65,39.48
2026-07-15T20:17:00.160471,ALL_X3mm,16.88,1.04,40.71,19.61,-1.56,44.55,15.58,0.52,39.35
2026-07-15T20:17:00.213489,ALL_X3mm,16.88,1.1,40.78,19.55,-1.49,44.48,15.45,0.58,39.42
2026-07-15T20:17:00.266567,ALL_X3mm,16.95,1.1,40.78,19.55,-1.49,44.42,15.45,0.52,39.42
2026-07-15T20:17:00.318566,ALL_X3mm,17.01,1.1,40.84,19.48,-1.49,44.55,15.45,0.71,39.35
2026-07-15T20:17:00.378879,ALL_X3mm,16.88,0.97,40.71,19.61,-1.69,44.55,15.58,0.65,39.35
2026-07-15T20:17:00.424302,ALL_X3mm,16.95,1.04,40.78,19.48,-1.69,44.48,15.45,0.65,39.42
2026-07-15T20:17:00.477148,ALL_X3mm,17.01,0.97,40.71,19.61,-1.62,44.48,15.58,0.65,39.35
2026-07-15T20:17:00.531087,ALL_X3mm,16.88,1.23,40.78,19.61,-1.62,44.55,15.52,0.52,39.55
2026-07-15T20:17:00.583972,ALL_X3mm,17.01,1.17,40.84,19.55,-1.56,44.48,15.52,0.52,39.42
2026-07-15T20:17:00.636041,ALL_X3mm,16.95,1.04,40.84,19.55,-1.56,44.42,15.58,0.65,39.48
2026-07-15T20:17:00.688518,ALL_X3mm,16.82,1.04,40.78,19.48,-1.56,44.42,15.58,0.58,39.42
2026-07-15T20:17:00.741318,ALL_X3mm,17.01,0.97,40.78,19.68,-1.56,44.48,15.52,0.65,39.35
2026-07-15T20:17:00.794122,ALL_X3mm,16.88,1.04,40.78,19.55,-1.49,44.48,15.58,0.58,39.35
2026-07-15T20:17:00.847102,ALL_X3mm,16.95,1.04,40.78,19.55,-1.62,44.48,15.52,0.65,39.42
2026-07-15T20:17:00.900555,ALL_X3mm,17.01,1.04,40.84,19.55,-1.69,44.48,15.58,0.58,39.42
2026-07-15T20:17:00.953542,ALL_X3mm,16.95,1.1,40.84,19.48,-1.49,44.42,15.58,0.52,39.48
