timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T20:27:38.183972,ALL_RX6deg,0.13,24.94,83.64,-2.79,4.74,41.3,-5.32,8.38,34.03
2026-07-15T20:27:38.237053,ALL_RX6deg,0.06,24.94,83.7,-2.73,4.61,41.3,-5.19,8.51,34.09
2026-07-15T20:27:38.289450,ALL_RX6deg,0.19,24.87,83.7,-2.73,4.74,41.3,-5.19,8.38,34.16
2026-07-15T20:27:38.348964,ALL_RX6deg,0.13,25.06,83.57,-2.79,4.74,41.3,-5.13,8.38,34.09
2026-07-15T20:27:38.416963,ALL_RX6deg,0.26,25.06,83.64,-2.66,4.68,41.23,-5.13,8.38,34.09
2026-07-15T20:27:38.448274,ALL_RX6deg,0.0,25.0,83.64,-2.66,4.61,41.3,-5.19,8.44,34.09
2026-07-15T20:27:38.500842,ALL_RX6deg,0.13,25.0,83.64,-2.79,4.61,41.3,-5.19,8.38,34.03
2026-07-15T20:27:38.554510,ALL_RX6deg,0.13,24.94,83.64,-2.79,4.74,41.17,-5.19,8.44,34.03
2026-07-15T20:27:38.607467,ALL_RX6deg,0.26,25.0,83.7,-2.73,4.68,41.36,-5.13,8.38,34.09
2026-07-15T20:27:38.659473,ALL_RX6deg,0.13,25.0,83.64,-2.66,4.68,41.23,-5.26,8.44,34.03
2026-07-15T20:27:38.712806,ALL_RX6deg,0.13,25.0,83.57,-2.73,4.74,41.3,-5.13,8.31,34.09
2026-07-15T20:27:38.765842,ALL_RX6deg,0.06,24.87,83.64,-2.79,4.74,41.3,-5.26,8.38,34.09
2026-07-15T20:27:38.818813,ALL_RX6deg,0.06,25.0,83.64,-2.6,4.68,41.23,-5.13,8.31,34.16
2026-07-15T20:27:38.871022,ALL_RX6deg,0.13,25.06,83.7,-2.66,4.68,41.23,-5.32,8.44,34.09
2026-07-15T20:27:38.923876,ALL_RX6deg,0.06,25.0,83.57,-2.66,4.61,41.23,-5.26,8.44,34.16
2026-07-15T20:27:38.976948,ALL_RX6deg,0.19,25.06,83.7,-2.79,4.74,41.3,-5.19,8.51,34.09
2026-07-15T20:27:39.030026,ALL_RX6deg,0.13,25.0,83.7,-2.79,4.61,41.23,-5.19,8.38,34.22
2026-07-15T20:27:39.082518,ALL_RX6deg,0.19,24.94,83.64,-2.86,4.74,41.36,-5.13,8.51,34.16
2026-07-15T20:27:39.135437,ALL_RX6deg,0.19,25.0,83.64,-2.73,4.74,41.23,-5.19,8.51,34.16
2026-07-15T20:27:39.188302,ALL_RX6deg,0.13,25.0,83.64,-2.79,4.68,41.3,-5.32,8.44,34.16
2026-07-15T20:27:39.241176,ALL_RX6deg,0.19,25.06,83.64,-2.79,4.61,41.23,-5.26,8.38,33.96
2026-07-15T20:27:39.293997,ALL_RX6deg,0.19,25.06,83.64,-2.73,4.68,41.3,-5.19,8.44,33.96
2026-07-15T20:27:39.389613,ALL_RX6deg,0.26,25.06,83.64,-2.73,4.68,41.23,-5.06,8.44,34.09
2026-07-15T20:27:39.413761,ALL_RX6deg,0.19,25.0,83.64,-2.79,4.68,41.36,-5.26,8.38,34.22
2026-07-15T20:27:39.453543,ALL_RX6deg,0.13,25.0,83.64,-2.73,4.68,41.23,-5.19,8.44,34.22
2026-07-15T20:27:39.505469,ALL_RX6deg,0.13,24.94,83.64,-2.79,4.68,41.3,-5.26,8.25,34.09
2026-07-15T20:27:39.558804,ALL_RX6deg,0.06,25.0,83.64,-2.73,4.61,41.3,-5.32,8.31,34.29
2026-07-15T20:27:39.611814,ALL_RX6deg,0.13,25.0,83.64,-2.66,4.61,41.3,-5.26,8.31,34.09
2026-07-15T20:27:39.664083,ALL_RX6deg,0.19,24.94,83.57,-2.73,4.68,41.3,-5.19,8.51,34.09
2026-07-15T20:27:39.717011,ALL_RX6deg,0.19,25.13,83.57,-2.66,4.74,41.23,-5.26,8.44,34.29
2026-07-15T20:27:39.770096,ALL_RX6deg,0.06,25.0,83.64,-2.73,4.74,41.3,-5.26,8.44,34.03
