timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T21:16:37.083996,ALL_RY-6deg,7.14,1.56,49.09,18.83,-0.06,87.73,3.18,-0.13,30.97
2026-07-15T21:16:37.136479,ALL_RY-6deg,7.08,1.69,48.96,18.96,0.06,87.79,3.25,-0.13,30.91
2026-07-15T21:16:37.189139,ALL_RY-6deg,7.08,1.75,49.03,18.9,0.06,87.79,3.12,-0.13,30.91
2026-07-15T21:16:37.242245,ALL_RY-6deg,7.14,1.69,49.09,18.9,0.06,87.86,3.05,-0.13,30.84
2026-07-15T21:16:37.295369,ALL_RY-6deg,7.14,1.69,49.03,18.83,0.0,87.79,3.18,-0.13,31.04
2026-07-15T21:16:37.348392,ALL_RY-6deg,7.01,1.69,49.09,18.9,0.0,87.79,3.18,-0.26,30.97
2026-07-15T21:16:37.452154,ALL_RY-6deg,7.01,1.69,49.03,18.9,0.06,87.79,3.18,-0.13,30.97
2026-07-15T21:16:37.476064,ALL_RY-6deg,7.14,1.62,49.03,18.9,0.13,87.86,3.18,-0.06,30.97
2026-07-15T21:16:37.506511,ALL_RY-6deg,7.14,1.69,49.03,19.03,0.13,87.79,3.18,-0.13,30.91
2026-07-15T21:16:37.558649,ALL_RY-6deg,7.08,1.62,48.96,18.83,0.0,87.73,3.18,-0.13,30.97
2026-07-15T21:16:37.611675,ALL_RY-6deg,7.01,1.62,48.96,18.9,0.06,87.73,3.05,-0.06,30.78
2026-07-15T21:16:37.664222,ALL_RY-6deg,7.08,1.69,49.03,18.83,0.13,87.86,3.12,-0.13,30.91
2026-07-15T21:16:37.717054,ALL_RY-6deg,7.08,1.62,49.03,18.9,0.06,87.79,3.18,-0.19,30.97
2026-07-15T21:16:37.771031,ALL_RY-6deg,7.14,1.62,49.03,18.83,0.06,87.73,3.18,-0.13,30.91
2026-07-15T21:16:37.823003,ALL_RY-6deg,7.01,1.69,49.09,18.9,0.06,87.73,3.25,-0.19,30.84
2026-07-15T21:16:37.876017,ALL_RY-6deg,7.08,1.56,49.03,18.9,0.19,87.79,3.18,-0.19,30.91
2026-07-15T21:16:37.928348,ALL_RY-6deg,7.14,1.49,49.09,18.96,0.13,87.86,3.05,-0.13,30.84
2026-07-15T21:16:37.982101,ALL_RY-6deg,7.21,1.69,49.03,18.96,0.13,87.79,3.25,0.0,30.91
2026-07-15T21:16:38.034029,ALL_RY-6deg,7.08,1.69,48.96,18.9,0.06,87.79,3.12,-0.06,30.97
2026-07-15T21:16:38.087244,ALL_RY-6deg,6.95,1.49,49.03,18.9,0.13,87.79,3.12,-0.06,30.91
2026-07-15T21:16:38.140108,ALL_RY-6deg,7.08,1.62,49.09,18.96,0.0,87.73,3.25,-0.06,31.04
2026-07-15T21:16:38.193090,ALL_RY-6deg,7.14,1.69,49.03,18.9,0.06,87.79,3.12,-0.13,30.71
2026-07-15T21:16:38.245917,ALL_RY-6deg,7.08,1.69,49.03,18.9,0.06,87.73,3.18,-0.26,30.97
2026-07-15T21:16:38.298573,ALL_RY-6deg,7.01,1.69,49.03,18.9,-0.06,87.79,3.05,-0.13,30.91
2026-07-15T21:16:38.352430,ALL_RY-6deg,7.21,1.62,49.03,18.9,0.19,87.79,3.12,-0.13,30.78
2026-07-15T21:16:38.459027,ALL_RY-6deg,7.01,1.69,49.16,18.9,0.0,87.73,3.12,-0.19,31.04
