timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T21:31:31.187289,ALL_Z-2mm,-4.94,1.95,103.77,-10.78,-8.44,109.35,-10.19,3.12,96.75
2026-07-15T21:31:31.240154,ALL_Z-2mm,-4.81,2.01,103.9,-10.84,-8.51,109.29,-10.13,3.05,96.82
2026-07-15T21:31:31.293011,ALL_Z-2mm,-4.87,1.95,103.83,-10.91,-8.51,109.29,-10.13,3.05,96.82
2026-07-15T21:31:31.346342,ALL_Z-2mm,-4.81,1.95,103.83,-10.84,-8.57,109.29,-10.19,3.25,96.88
2026-07-15T21:31:31.469134,ALL_Z-2mm,-5.0,2.01,103.83,-10.84,-8.44,109.35,-10.06,3.12,96.88
2026-07-15T21:31:31.469331,ALL_Z-2mm,-4.81,2.14,103.83,-10.71,-8.51,109.29,-10.19,3.18,96.75
2026-07-15T21:31:31.504049,ALL_Z-2mm,-4.87,2.01,103.83,-10.91,-8.44,109.29,-10.19,3.05,96.88
2026-07-15T21:31:31.557387,ALL_Z-2mm,-4.87,2.01,103.83,-10.78,-8.51,109.29,-10.13,3.12,96.82
2026-07-15T21:31:31.610443,ALL_Z-2mm,-4.81,1.95,103.83,-10.91,-8.51,109.29,-10.19,3.12,96.88
2026-07-15T21:31:31.663527,ALL_Z-2mm,-4.81,2.01,103.83,-10.84,-8.51,109.42,-10.06,3.18,96.75
2026-07-15T21:31:31.715574,ALL_Z-2mm,-4.87,1.88,103.96,-10.91,-8.44,109.29,-10.13,3.12,96.88
2026-07-15T21:31:31.768633,ALL_Z-2mm,-4.94,2.08,103.83,-10.91,-8.51,109.35,-10.13,3.12,96.82
2026-07-15T21:31:31.821708,ALL_Z-2mm,-4.87,2.01,103.9,-10.91,-8.51,109.29,-10.26,3.12,96.95
2026-07-15T21:31:31.874144,ALL_Z-2mm,-4.87,2.01,103.9,-10.91,-8.51,109.29,-10.06,3.05,97.01
2026-07-15T21:31:31.927020,ALL_Z-2mm,-5.0,1.88,103.9,-11.04,-8.51,109.35,-10.13,3.12,96.75
2026-07-15T21:31:31.979670,ALL_Z-2mm,-4.81,1.95,103.83,-10.78,-8.44,109.29,-10.13,3.12,96.82
2026-07-15T21:31:32.032559,ALL_Z-2mm,-4.81,1.95,103.83,-10.91,-8.38,109.35,-10.19,3.18,96.82
2026-07-15T21:31:32.086079,ALL_Z-2mm,-4.94,1.95,103.83,-10.91,-8.57,109.35,-10.26,3.12,96.75
2026-07-15T21:31:32.138467,ALL_Z-2mm,-4.87,2.01,103.9,-10.84,-8.44,109.22,-10.13,3.18,96.75
2026-07-15T21:31:32.192158,ALL_Z-2mm,-4.87,2.01,103.83,-10.78,-8.51,109.29,-10.13,3.25,96.82
2026-07-15T21:31:32.244502,ALL_Z-2mm,-4.87,1.95,103.83,-10.91,-8.44,109.35,-10.26,3.12,96.88
2026-07-15T21:31:32.297326,ALL_Z-2mm,-4.94,2.01,103.77,-10.84,-8.44,109.35,-10.06,3.05,96.95
2026-07-15T21:31:32.350423,ALL_Z-2mm,-4.81,2.01,103.83,-10.78,-8.57,109.35,-10.26,3.05,96.88
2026-07-15T21:31:32.469473,ALL_Z-2mm,-4.94,2.01,103.9,-10.84,-8.51,109.29,-10.19,3.12,97.01
2026-07-15T21:31:32.469714,ALL_Z-2mm,-4.81,2.01,103.77,-10.91,-8.44,109.35,-10.26,3.18,96.82
2026-07-15T21:31:32.508476,ALL_Z-2mm,-4.81,1.95,103.9,-10.84,-8.51,109.35,-10.26,3.05,96.82
2026-07-15T21:31:32.561592,ALL_Z-2mm,-4.81,1.88,103.77,-10.84,-8.51,109.35,-10.19,3.12,96.88
2026-07-15T21:31:32.614721,ALL_Z-2mm,-4.81,2.01,103.9,-10.84,-8.51,109.22,-10.13,3.12,96.88
2026-07-15T21:31:32.667083,ALL_Z-2mm,-4.94,1.88,103.83,-10.91,-8.44,109.29,-10.19,2.99,96.88
2026-07-15T21:31:32.719896,ALL_Z-2mm,-4.87,1.88,103.83,-10.84,-8.44,109.22,-10.13,3.18,96.82
2026-07-15T21:31:32.773112,ALL_Z-2mm,-4.87,1.88,103.9,-10.84,-8.44,109.22,-10.26,3.12,96.82
2026-07-15T21:31:32.826237,ALL_Z-2mm,-4.87,2.01,103.9,-10.78,-8.51,109.22,-10.13,3.12,96.95
2026-07-15T21:31:32.878336,ALL_Z-2mm,-5.0,2.08,103.9,-10.84,-8.51,109.29,-10.26,3.25,96.88
2026-07-15T21:31:32.931181,ALL_Z-2mm,-4.87,2.01,103.83,-10.78,-8.57,109.29,-10.13,3.12,96.88
2026-07-15T21:31:32.984130,ALL_Z-2mm,-4.87,1.88,103.83,-10.91,-8.44,109.29,-10.13,3.18,96.82
2026-07-15T21:31:33.037181,ALL_Z-2mm,-4.87,2.01,103.77,-10.84,-8.44,109.22,-10.26,3.12,96.82
2026-07-15T21:31:33.090327,ALL_Z-2mm,-4.94,1.95,103.83,-10.78,-8.51,109.29,-10.26,3.18,96.82
2026-07-15T21:31:33.142686,ALL_Z-2mm,-4.87,2.01,103.77,-10.91,-8.44,109.29,-10.19,3.05,96.95
2026-07-15T21:31:33.195597,ALL_Z-2mm,-4.87,1.88,103.9,-10.91,-8.51,109.29,-10.06,3.25,96.95
2026-07-15T21:31:33.249241,ALL_Z-2mm,-4.81,1.95,103.83,-10.84,-8.44,109.35,-10.06,3.12,96.95
2026-07-15T21:31:33.301472,ALL_Z-2mm,-4.94,1.82,103.9,-10.71,-8.51,109.29,-10.13,3.18,97.01
2026-07-15T21:31:33.354606,ALL_Z-2mm,-4.81,2.01,103.83,-10.84,-8.51,109.29,-10.13,3.12,96.82
2026-07-15T21:31:33.466932,ALL_Z-2mm,-4.81,2.01,103.77,-10.78,-8.51,109.29,-10.39,3.18,96.82
2026-07-15T21:31:33.467146,ALL_Z-2mm,-4.87,1.82,103.9,-10.91,-8.51,109.29,-10.06,3.25,97.01
2026-07-15T21:31:33.512689,ALL_Z-2mm,-4.87,1.95,103.83,-10.84,-8.44,109.29,-10.19,3.18,97.01
2026-07-15T21:31:33.565831,ALL_Z-2mm,-4.81,2.01,103.9,-10.97,-8.57,109.22,-10.19,3.05,97.01
2026-07-15T21:31:33.619066,ALL_Z-2mm,-4.81,2.01,103.77,-10.84,-8.44,109.35,-10.06,3.18,96.88
2026-07-15T21:31:33.671199,ALL_Z-2mm,-4.87,1.88,103.9,-10.78,-8.51,109.22,-10.26,3.12,96.88
2026-07-15T21:31:33.724177,ALL_Z-2mm,-4.81,1.88,103.9,-10.84,-8.51,109.35,-10.32,3.12,96.88
2026-07-15T21:31:33.776950,ALL_Z-2mm,-4.94,2.01,103.9,-10.91,-8.44,109.29,-10.26,3.12,96.88
2026-07-15T21:31:33.829971,ALL_Z-2mm,-4.87,1.95,103.83,-10.91,-8.44,109.35,-10.13,3.18,97.01
2026-07-15T21:31:33.883035,ALL_Z-2mm,-4.87,1.95,103.77,-10.84,-8.51,109.35,-10.06,3.12,96.95
2026-07-15T21:31:33.935997,ALL_Z-2mm,-4.94,1.95,103.83,-10.84,-8.51,109.35,-10.0,3.18,96.75
2026-07-15T21:31:33.988366,ALL_Z-2mm,-4.87,2.01,103.83,-10.84,-8.57,109.42,-10.19,3.12,96.88
2026-07-15T21:31:34.041399,ALL_Z-2mm,-4.87,2.08,103.9,-10.78,-8.44,109.29,-10.13,3.25,96.82
2026-07-15T21:31:34.093774,ALL_Z-2mm,-4.87,1.95,103.77,-10.78,-8.44,109.29,-10.19,3.05,96.69
2026-07-15T21:31:34.148270,ALL_Z-2mm,-4.87,2.08,103.77,-10.78,-8.44,109.29,-10.19,3.18,96.82
2026-07-15T21:31:34.200592,ALL_Z-2mm,-4.94,1.95,103.83,-10.78,-8.57,109.35,-10.13,3.12,96.82
2026-07-15T21:31:34.252650,ALL_Z-2mm,-4.81,2.01,103.83,-10.78,-8.51,109.35,-10.19,3.25,96.95
