timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T18:49:47.376408,ALL_NO_MAGNETS,0.19,-0.06,0.13,0.06,0.13,0.0,0.19,0.06,-0.32
2026-07-15T18:49:47.429033,ALL_NO_MAGNETS,0.13,0.0,0.13,0.06,0.0,0.0,0.13,0.0,-0.19
2026-07-15T18:49:47.481897,ALL_NO_MAGNETS,0.06,-0.13,0.13,0.13,0.0,0.0,0.26,0.06,-0.32
2026-07-15T18:49:47.535210,ALL_NO_MAGNETS,0.19,0.0,0.19,0.0,-0.06,0.0,0.26,0.13,-0.26
2026-07-15T18:49:47.588520,ALL_NO_MAGNETS,0.13,0.0,0.13,0.0,0.0,0.0,0.19,-0.06,-0.13
2026-07-15T18:49:47.641271,ALL_NO_MAGNETS,0.06,-0.06,0.13,0.06,-0.06,0.06,0.19,-0.06,-0.19
2026-07-15T18:49:47.693426,ALL_NO_MAGNETS,0.13,-0.13,0.19,0.13,0.06,0.06,0.26,0.19,-0.32
2026-07-15T18:49:47.746455,ALL_NO_MAGNETS,0.06,-0.06,0.13,0.06,-0.06,0.0,0.19,0.0,-0.19
2026-07-15T18:49:47.798711,ALL_NO_MAGNETS,0.19,-0.13,0.19,0.13,-0.06,0.0,0.13,0.06,-0.19
2026-07-15T18:49:47.851573,ALL_NO_MAGNETS,0.19,0.0,0.19,0.06,0.13,-0.06,0.19,0.0,-0.19
2026-07-15T18:49:47.904578,ALL_NO_MAGNETS,0.13,-0.06,0.13,0.0,-0.06,-0.06,0.06,0.13,-0.32
2026-07-15T18:49:47.957843,ALL_NO_MAGNETS,0.13,-0.13,0.13,0.06,0.0,0.0,0.26,0.06,-0.26
2026-07-15T18:49:48.010734,ALL_NO_MAGNETS,0.06,-0.19,0.06,0.13,0.0,-0.06,0.26,0.0,-0.19
2026-07-15T18:49:48.062850,ALL_NO_MAGNETS,0.19,-0.06,0.26,0.19,-0.06,0.0,0.32,0.06,-0.32
2026-07-15T18:49:48.115701,ALL_NO_MAGNETS,0.0,-0.13,0.06,0.06,0.06,0.0,0.13,0.06,-0.32
2026-07-15T18:49:48.168955,ALL_NO_MAGNETS,0.06,-0.06,0.19,0.06,-0.06,0.0,0.19,0.0,-0.19
2026-07-15T18:49:48.221391,ALL_NO_MAGNETS,0.13,-0.13,0.19,0.06,-0.06,0.0,0.06,0.06,-0.19
2026-07-15T18:49:48.274196,ALL_NO_MAGNETS,0.06,-0.06,0.13,0.06,0.0,0.06,0.13,0.0,-0.19
2026-07-15T18:49:48.327111,ALL_NO_MAGNETS,0.0,-0.06,0.19,0.06,0.06,0.0,0.06,-0.06,-0.19
2026-07-15T18:49:48.379866,ALL_NO_MAGNETS,0.19,-0.06,0.13,0.06,-0.13,0.06,0.13,0.0,-0.19
2026-07-15T18:49:48.432562,ALL_NO_MAGNETS,0.06,-0.19,0.06,0.13,0.06,-0.06,0.19,0.06,-0.19
2026-07-15T18:49:48.485567,ALL_NO_MAGNETS,0.06,-0.26,0.06,0.06,-0.06,0.06,0.26,0.13,-0.32
2026-07-15T18:49:48.538447,ALL_NO_MAGNETS,0.19,-0.13,0.19,0.06,-0.13,0.06,0.19,0.06,-0.19
2026-07-15T18:49:48.591530,ALL_NO_MAGNETS,0.06,-0.13,0.13,0.19,0.0,0.0,0.26,0.0,-0.19
2026-07-15T18:49:48.644405,ALL_NO_MAGNETS,0.06,-0.13,0.13,0.0,-0.06,0.0,0.19,0.0,-0.26
2026-07-15T18:49:48.698291,ALL_NO_MAGNETS,0.13,-0.13,0.13,0.06,0.13,0.0,0.19,0.06,-0.32
2026-07-15T18:49:48.749404,ALL_NO_MAGNETS,0.06,-0.13,0.32,0.13,-0.06,0.0,0.19,0.13,-0.26
2026-07-15T18:49:48.802779,ALL_NO_MAGNETS,0.13,-0.06,0.26,0.0,0.0,-0.06,0.19,0.0,-0.19
2026-07-15T18:49:48.854728,ALL_NO_MAGNETS,0.13,-0.06,0.26,0.06,0.06,-0.06,0.26,-0.13,-0.26
2026-07-15T18:49:48.907493,ALL_NO_MAGNETS,0.19,-0.06,0.13,0.13,0.0,0.0,0.26,0.0,-0.19
2026-07-15T18:49:48.960876,ALL_NO_MAGNETS,0.06,-0.13,0.19,0.0,-0.06,0.0,0.13,0.0,-0.26
2026-07-15T18:49:49.014037,ALL_NO_MAGNETS,0.13,-0.13,0.19,0.06,-0.06,0.0,0.13,0.0,-0.32
2026-07-15T18:49:49.066110,ALL_NO_MAGNETS,0.06,-0.06,0.26,0.06,-0.06,-0.06,0.26,0.0,-0.26
2026-07-15T18:49:49.119087,ALL_NO_MAGNETS,0.06,-0.19,0.19,0.13,0.0,0.06,0.26,0.0,-0.32
2026-07-15T18:49:49.171781,ALL_NO_MAGNETS,0.13,-0.19,0.19,0.06,0.0,0.06,0.19,0.0,-0.26
2026-07-15T18:49:49.225185,ALL_NO_MAGNETS,0.06,-0.06,0.13,0.06,0.0,0.06,0.19,-0.06,-0.26
2026-07-15T18:49:49.277327,ALL_NO_MAGNETS,0.06,-0.19,0.06,-0.06,0.0,0.0,0.26,0.06,-0.06
2026-07-15T18:49:49.330046,ALL_NO_MAGNETS,-0.06,0.0,0.13,0.0,0.0,0.0,0.26,0.06,-0.19
2026-07-15T18:49:49.383017,ALL_NO_MAGNETS,0.06,-0.13,0.13,0.0,0.0,0.0,0.19,0.06,-0.32
2026-07-15T18:49:49.435925,ALL_NO_MAGNETS,0.06,-0.06,0.19,0.13,-0.13,0.0,0.13,0.13,-0.26
