timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T19:21:23.966469,M1_NEUTRAL_POSITION,-2.79,0.32,50.58,0.32,-0.78,-0.65,-0.13,-0.58,-0.84
2026-07-15T19:21:24.019477,M1_NEUTRAL_POSITION,-2.92,0.26,50.58,0.45,-0.78,-0.65,-0.19,-0.78,-0.84
2026-07-15T19:21:24.072661,M1_NEUTRAL_POSITION,-2.86,0.26,50.58,0.45,-0.78,-0.58,-0.26,-0.71,-0.78
2026-07-15T19:21:24.125004,M1_NEUTRAL_POSITION,-2.86,0.19,50.65,0.32,-0.58,-0.65,-0.32,-0.71,-0.84
2026-07-15T19:21:24.178758,M1_NEUTRAL_POSITION,-2.86,0.19,50.65,0.39,-0.78,-0.58,-0.26,-0.65,-0.84
2026-07-15T19:21:24.230832,M1_NEUTRAL_POSITION,-2.86,0.13,50.52,0.45,-0.84,-0.71,-0.13,-0.58,-0.78
2026-07-15T19:21:24.303891,M1_NEUTRAL_POSITION,-2.99,0.32,50.65,0.26,-0.71,-0.71,-0.19,-0.71,-0.78
2026-07-15T19:21:24.336479,M1_NEUTRAL_POSITION,-2.92,0.26,50.65,0.32,-0.65,-0.71,-0.19,-0.71,-0.91
2026-07-15T19:21:24.389271,M1_NEUTRAL_POSITION,-2.79,0.19,50.58,0.45,-0.78,-0.65,-0.13,-0.71,-0.84
2026-07-15T19:21:24.445142,M1_NEUTRAL_POSITION,-2.92,0.26,50.58,0.32,-0.91,-0.78,-0.19,-0.91,-0.84
2026-07-15T19:21:24.495222,M1_NEUTRAL_POSITION,-2.92,0.26,50.52,0.39,-0.78,-0.65,-0.32,-0.65,-0.84
2026-07-15T19:21:24.549167,M1_NEUTRAL_POSITION,-2.86,0.19,50.65,0.32,-0.71,-0.65,-0.19,-0.78,-0.91
2026-07-15T19:21:24.601229,M1_NEUTRAL_POSITION,-2.92,0.32,50.65,0.45,-0.78,-0.65,-0.19,-0.78,-0.84
2026-07-15T19:21:24.654376,M1_NEUTRAL_POSITION,-2.86,0.32,50.58,0.32,-0.78,-0.65,-0.13,-0.71,-0.91
2026-07-15T19:21:24.707398,M1_NEUTRAL_POSITION,-2.86,0.32,50.58,0.32,-0.78,-0.65,-0.19,-0.78,-1.04
2026-07-15T19:21:24.760471,M1_NEUTRAL_POSITION,-2.86,0.32,50.58,0.39,-0.71,-0.65,-0.32,-0.71,-0.84
2026-07-15T19:21:24.812481,M1_NEUTRAL_POSITION,-2.92,0.19,50.58,0.39,-0.65,-0.71,-0.32,-0.78,-0.84
2026-07-15T19:21:24.865905,M1_NEUTRAL_POSITION,-2.92,0.32,50.65,0.39,-0.78,-0.71,-0.32,-0.78,-0.78
2026-07-15T19:21:24.918827,M1_NEUTRAL_POSITION,-2.92,0.26,50.58,0.32,-0.65,-0.65,-0.19,-0.78,-0.91
2026-07-15T19:21:24.971747,M1_NEUTRAL_POSITION,-2.92,0.19,50.58,0.39,-0.78,-0.71,-0.26,-0.65,-0.84
2026-07-15T19:21:25.024186,M1_NEUTRAL_POSITION,-2.99,0.19,50.58,0.39,-0.84,-0.65,-0.19,-0.71,-0.91
2026-07-15T19:21:25.077200,M1_NEUTRAL_POSITION,-2.86,0.19,50.58,0.26,-0.71,-0.65,-0.19,-0.84,-0.78
2026-07-15T19:21:25.129894,M1_NEUTRAL_POSITION,-2.86,0.19,50.58,0.45,-0.71,-0.65,-0.13,-0.71,-0.84
2026-07-15T19:21:25.182977,M1_NEUTRAL_POSITION,-2.86,0.26,50.58,0.39,-0.71,-0.71,-0.19,-0.71,-0.91
2026-07-15T19:21:25.235594,M1_NEUTRAL_POSITION,-2.92,0.19,50.65,0.26,-0.78,-0.65,-0.19,-0.78,-0.84
2026-07-15T19:21:25.300593,M1_NEUTRAL_POSITION,-2.79,0.26,50.65,0.26,-0.65,-0.58,-0.13,-0.84,-0.91
2026-07-15T19:21:25.345812,M1_NEUTRAL_POSITION,-2.86,0.19,50.58,0.39,-0.78,-0.65,-0.32,-0.71,-0.91
2026-07-15T19:21:25.394235,M1_NEUTRAL_POSITION,-2.86,0.26,50.65,0.39,-0.71,-0.71,-0.32,-0.65,-0.84
2026-07-15T19:21:25.447291,M1_NEUTRAL_POSITION,-2.92,0.26,50.58,0.52,-0.78,-0.71,-0.26,-0.65,-0.78
2026-07-15T19:21:25.499963,M1_NEUTRAL_POSITION,-2.86,0.26,50.65,0.39,-0.78,-0.71,-0.26,-0.84,-0.84
2026-07-15T19:21:25.552960,M1_NEUTRAL_POSITION,-2.86,0.19,50.65,0.39,-0.91,-0.71,-0.32,-0.71,-0.84
2026-07-15T19:21:25.606586,M1_NEUTRAL_POSITION,-2.79,0.19,50.58,0.32,-0.71,-0.65,-0.19,-0.71,-0.97
2026-07-15T19:21:25.658620,M1_NEUTRAL_POSITION,-2.86,0.19,50.65,0.45,-0.65,-0.45,-0.32,-0.78,-0.78
2026-07-15T19:21:25.712246,M1_NEUTRAL_POSITION,-3.05,0.19,50.58,0.52,-0.71,-0.58,-0.19,-0.71,-0.84
2026-07-15T19:21:25.765437,M1_NEUTRAL_POSITION,-2.86,0.32,50.58,0.39,-0.71,-0.71,-0.32,-0.65,-0.84
2026-07-15T19:21:25.817813,M1_NEUTRAL_POSITION,-2.79,0.32,50.65,0.32,-0.78,-0.65,-0.26,-0.65,-0.84
2026-07-15T19:21:25.870713,M1_NEUTRAL_POSITION,-2.86,0.26,50.58,0.39,-0.65,-0.65,-0.13,-0.78,-0.84
