timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T19:26:30.967171,M1_RZ-120deg,-0.32,0.58,-0.45,-2.86,-0.78,55.71,-0.65,0.0,-0.91
2026-07-15T19:26:31.261545,M1_RZ-120deg,-0.32,0.58,-0.45,-2.86,-0.65,55.71,-0.58,0.06,-0.84
2026-07-15T19:26:31.261704,M1_RZ-120deg,-0.39,0.52,-0.39,-2.86,-0.58,55.65,-0.58,0.0,-0.84
2026-07-15T19:26:31.871532,M1_RZ-120deg,-0.39,0.65,-0.45,-2.99,-0.65,55.71,-0.65,0.19,-0.91
2026-07-15T19:26:32.084419,M1_RZ-120deg,-0.32,0.58,-0.45,-2.92,-0.65,55.71,-0.65,0.06,-0.97
2026-07-15T19:26:32.084885,M1_RZ-120deg,-0.45,0.52,-0.52,-2.99,-0.71,55.65,-0.71,0.0,-0.91
2026-07-15T19:26:32.356955,M1_RZ-120deg,-0.26,0.71,-0.39,-2.99,-0.65,55.71,-0.58,0.06,-0.91
2026-07-15T19:26:32.423105,M1_RZ-120deg,-0.32,0.58,-0.45,-2.92,-0.71,55.71,-0.52,-0.06,-0.91
2026-07-15T19:26:32.423679,M1_RZ-120deg,-0.32,0.58,-0.45,-2.99,-0.65,55.65,-0.58,0.0,-0.91
2026-07-15T19:26:32.520475,M1_RZ-120deg,-0.32,0.58,-0.39,-2.86,-0.58,55.78,-0.65,0.0,-0.78
2026-07-15T19:26:32.588437,M1_RZ-120deg,-0.45,0.52,-0.45,-2.86,-0.65,55.71,-0.58,0.0,-0.91
2026-07-15T19:26:32.608956,M1_RZ-120deg,-0.39,0.58,-0.45,-2.79,-0.78,55.65,-0.65,0.0,-0.84
2026-07-15T19:26:32.616375,M1_RZ-120deg,-0.32,0.58,-0.45,-2.99,-0.65,55.71,-0.65,0.0,-0.78
2026-07-15T19:26:32.616594,M1_RZ-120deg,-0.32,0.65,-0.45,-2.99,-0.71,55.71,-0.52,0.0,-0.97
2026-07-15T19:26:32.649028,M1_RZ-120deg,-0.39,0.52,-0.45,-3.05,-0.65,55.71,-0.65,0.06,-0.84
2026-07-15T19:26:32.675557,M1_RZ-120deg,-0.39,0.58,-0.45,-2.86,-0.65,55.71,-0.65,-0.06,-0.97
2026-07-15T19:26:32.676880,M1_RZ-120deg,-0.26,0.52,-0.45,-2.92,-0.71,55.71,-0.65,0.0,-0.97
2026-07-15T19:26:32.677941,M1_RZ-120deg,-0.26,0.65,-0.45,-2.86,-0.65,55.71,-0.52,0.06,-0.97
2026-07-15T19:26:32.678858,M1_RZ-120deg,-0.39,0.65,-0.45,-2.99,-0.65,55.65,-0.58,0.13,-0.84
2026-07-15T19:26:32.679105,M1_RZ-120deg,-0.39,0.58,-0.58,-2.99,-0.65,55.71,-0.52,0.13,-0.84
2026-07-15T19:26:32.679521,M1_RZ-120deg,-0.39,0.52,-0.45,-2.92,-0.71,55.65,-0.65,-0.06,-0.91
2026-07-15T19:26:32.680050,M1_RZ-120deg,-0.39,0.58,-0.45,-2.92,-0.65,55.78,-0.58,0.0,-0.97
2026-07-15T19:26:32.680958,M1_RZ-120deg,-0.32,0.58,-0.45,-2.79,-0.58,55.65,-0.52,0.0,-0.91
2026-07-15T19:26:32.681306,M1_RZ-120deg,-0.32,0.58,-0.45,-2.99,-0.71,55.65,-0.78,-0.06,-0.97
2026-07-15T19:26:32.681647,M1_RZ-120deg,-0.39,0.52,-0.39,-2.99,-0.65,55.71,-0.58,0.13,-1.04
2026-07-15T19:26:32.681953,M1_RZ-120deg,-0.45,0.58,-0.52,-2.99,-0.65,55.65,-0.52,-0.06,-0.97
2026-07-15T19:26:32.682302,M1_RZ-120deg,-0.45,0.71,-0.52,-2.92,-0.65,55.65,-0.71,0.13,-0.84
2026-07-15T19:26:32.682704,M1_RZ-120deg,-0.19,0.52,-0.45,-2.92,-0.65,55.65,-0.58,0.0,-0.84
2026-07-15T19:26:32.684296,M1_RZ-120deg,-0.39,0.58,-0.45,-2.86,-0.71,55.71,-0.71,0.0,-1.04
2026-07-15T19:26:32.684798,M1_RZ-120deg,-0.32,0.58,-0.45,-2.99,-0.65,55.84,-0.71,0.06,-0.91
2026-07-15T19:26:32.685217,M1_RZ-120deg,-0.39,0.58,-0.45,-2.92,-0.71,55.71,-0.65,-0.06,-0.71
2026-07-15T19:26:32.685504,M1_RZ-120deg,-0.32,0.65,-0.45,-2.99,-0.65,55.71,-0.65,0.06,-0.84
2026-07-15T19:26:32.686243,M1_RZ-120deg,-0.45,0.65,-0.45,-2.99,-0.65,55.71,-0.52,0.0,-0.91
