timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T19:48:01.250424,ALL_NEUTRAL_POSITION,-3.25,0.91,49.35,-3.12,-0.84,55.65,-5.78,-0.32,47.66
2026-07-15T19:48:01.314815,ALL_NEUTRAL_POSITION,-3.31,1.04,49.29,-3.05,-0.91,55.65,-5.84,-0.19,47.4
2026-07-15T19:48:01.356497,ALL_NEUTRAL_POSITION,-3.12,0.84,49.29,-3.12,-0.97,55.78,-5.65,-0.32,47.66
2026-07-15T19:48:01.410512,ALL_NEUTRAL_POSITION,-3.25,0.97,49.35,-2.99,-0.97,55.58,-5.84,-0.13,47.53
2026-07-15T19:48:01.468844,ALL_NEUTRAL_POSITION,-3.12,0.84,49.29,-3.18,-0.97,55.71,-5.91,-0.19,47.53
2026-07-15T19:48:01.515298,ALL_NEUTRAL_POSITION,-3.18,0.84,49.35,-3.18,-0.97,55.65,-5.78,-0.19,47.4
2026-07-15T19:48:01.567610,ALL_NEUTRAL_POSITION,-3.25,0.78,49.29,-3.12,-0.97,55.65,-5.78,-0.19,47.47
2026-07-15T19:48:01.621395,ALL_NEUTRAL_POSITION,-3.25,0.78,49.29,-3.05,-0.91,55.65,-5.78,-0.13,47.47
2026-07-15T19:48:01.673412,ALL_NEUTRAL_POSITION,-3.12,0.84,49.29,-3.18,-0.91,55.65,-5.78,-0.19,47.47
2026-07-15T19:48:01.726976,ALL_NEUTRAL_POSITION,-3.18,0.84,49.29,-3.12,-0.91,55.71,-5.84,-0.19,47.47
2026-07-15T19:48:01.780054,ALL_NEUTRAL_POSITION,-3.18,0.91,49.35,-3.12,-0.84,55.65,-5.91,-0.06,47.4
2026-07-15T19:48:01.833231,ALL_NEUTRAL_POSITION,-3.25,0.84,49.35,-3.12,-0.91,55.65,-5.84,-0.26,47.47
2026-07-15T19:48:01.886248,ALL_NEUTRAL_POSITION,-3.18,0.84,49.35,-3.12,-0.84,55.58,-5.84,-0.13,47.47
2026-07-15T19:48:01.937969,ALL_NEUTRAL_POSITION,-3.25,0.78,49.29,-3.12,-0.91,55.65,-5.78,-0.19,47.4
2026-07-15T19:48:01.990832,ALL_NEUTRAL_POSITION,-3.12,0.84,49.29,-3.12,-1.04,55.52,-5.84,-0.19,47.53
2026-07-15T19:48:02.043805,ALL_NEUTRAL_POSITION,-3.25,0.78,49.22,-3.12,-0.84,55.65,-5.84,-0.13,47.53
2026-07-15T19:48:02.097077,ALL_NEUTRAL_POSITION,-3.38,0.78,49.29,-3.18,-0.78,55.71,-5.78,-0.13,47.47
2026-07-15T19:48:02.149608,ALL_NEUTRAL_POSITION,-3.31,0.84,49.35,-3.18,-0.97,55.65,-5.91,-0.06,47.53
2026-07-15T19:48:02.202590,ALL_NEUTRAL_POSITION,-3.18,0.91,49.29,-3.12,-0.97,55.58,-5.71,-0.13,47.6
2026-07-15T19:48:02.255720,ALL_NEUTRAL_POSITION,-3.18,0.84,49.29,-3.18,-0.91,55.71,-5.78,-0.26,47.47
2026-07-15T19:48:02.312007,ALL_NEUTRAL_POSITION,-3.12,0.91,49.29,-3.05,-1.04,55.65,-5.84,-0.19,47.53
2026-07-15T19:48:02.361290,ALL_NEUTRAL_POSITION,-3.12,0.78,49.35,-3.18,-0.91,55.65,-5.65,-0.13,47.4
2026-07-15T19:48:02.414851,ALL_NEUTRAL_POSITION,-3.18,0.84,49.42,-3.18,-0.91,55.65,-5.84,-0.19,47.47
2026-07-15T19:48:02.467915,ALL_NEUTRAL_POSITION,-3.31,0.78,49.35,-3.12,-0.91,55.58,-5.78,-0.19,47.47
2026-07-15T19:48:02.520943,ALL_NEUTRAL_POSITION,-3.12,0.84,49.35,-3.12,-0.84,55.65,-5.71,-0.13,47.53
2026-07-15T19:48:02.572871,ALL_NEUTRAL_POSITION,-3.25,0.78,49.29,-3.12,-0.84,55.65,-5.91,-0.13,47.6
2026-07-15T19:48:02.625803,ALL_NEUTRAL_POSITION,-3.25,0.78,49.35,-3.18,-0.91,55.65,-5.71,-0.19,47.53
2026-07-15T19:48:02.678730,ALL_NEUTRAL_POSITION,-3.25,0.78,49.29,-3.12,-0.97,55.58,-5.84,-0.19,47.6
2026-07-15T19:48:02.731595,ALL_NEUTRAL_POSITION,-3.18,0.91,49.35,-3.05,-0.97,55.58,-5.91,-0.06,47.66
2026-07-15T19:48:02.784675,ALL_NEUTRAL_POSITION,-3.25,0.84,49.29,-3.18,-0.97,55.58,-5.91,-0.19,47.47
2026-07-15T19:48:02.837535,ALL_NEUTRAL_POSITION,-3.12,0.78,49.35,-3.18,-0.97,55.58,-5.78,-0.13,47.53
2026-07-15T19:48:02.890542,ALL_NEUTRAL_POSITION,-3.25,0.84,49.35,-3.12,-0.91,55.71,-5.71,-0.26,47.53
2026-07-15T19:48:02.943478,ALL_NEUTRAL_POSITION,-3.31,0.84,49.29,-3.31,-0.97,55.65,-5.84,-0.19,47.4
2026-07-15T19:48:02.996759,ALL_NEUTRAL_POSITION,-3.25,0.84,49.29,-3.05,-0.78,55.65,-5.84,-0.19,47.47
2026-07-15T19:48:03.049787,ALL_NEUTRAL_POSITION,-3.18,0.78,49.35,-3.18,-0.97,55.71,-5.78,-0.13,47.47
2026-07-15T19:48:03.102692,ALL_NEUTRAL_POSITION,-3.25,0.78,49.29,-3.18,-0.91,55.65,-5.78,-0.26,47.4
2026-07-15T19:48:03.155200,ALL_NEUTRAL_POSITION,-3.05,0.84,49.35,-3.05,-0.84,55.58,-5.84,-0.32,47.53
2026-07-15T19:48:03.207886,ALL_NEUTRAL_POSITION,-3.31,0.84,49.29,-3.18,-0.91,55.58,-5.84,-0.13,47.47
2026-07-15T19:48:03.261134,ALL_NEUTRAL_POSITION,-3.12,0.84,49.35,-2.99,-0.84,55.71,-5.65,-0.19,47.34
2026-07-15T19:48:03.339364,ALL_NEUTRAL_POSITION,-3.18,0.91,49.42,-3.18,-0.78,55.65,-5.78,-0.19,47.53
2026-07-15T19:48:03.366593,ALL_NEUTRAL_POSITION,-3.25,0.78,49.29,-3.18,-0.91,55.65,-5.78,-0.13,47.53
2026-07-15T19:48:03.420015,ALL_NEUTRAL_POSITION,-3.18,0.78,49.29,-3.12,-0.97,55.71,-5.84,-0.26,47.6
2026-07-15T19:48:03.472348,ALL_NEUTRAL_POSITION,-3.25,0.97,49.35,-3.18,-0.91,55.71,-5.78,-0.32,47.4
2026-07-15T19:48:03.525289,ALL_NEUTRAL_POSITION,-3.31,0.91,49.35,-3.05,-0.91,55.71,-5.71,-0.32,47.6
2026-07-15T19:48:03.579255,ALL_NEUTRAL_POSITION,-3.25,0.84,49.29,-3.12,-0.97,55.65,-5.84,-0.13,47.6
2026-07-15T19:48:03.632343,ALL_NEUTRAL_POSITION,-3.25,0.84,49.35,-3.12,-0.91,55.71,-5.84,-0.19,47.53
2026-07-15T19:48:03.685361,ALL_NEUTRAL_POSITION,-3.31,0.84,49.35,-3.05,-0.97,55.65,-5.78,-0.19,47.53
2026-07-15T19:48:03.737422,ALL_NEUTRAL_POSITION,-3.25,0.78,49.29,-3.25,-0.97,55.58,-5.78,-0.26,47.53
2026-07-15T19:48:03.790561,ALL_NEUTRAL_POSITION,-3.18,0.78,49.29,-3.12,-0.91,55.52,-5.78,-0.19,47.47
2026-07-15T19:48:03.842997,ALL_NEUTRAL_POSITION,-3.31,0.84,49.22,-3.25,-0.91,55.65,-5.84,-0.26,47.53
2026-07-15T19:48:03.896333,ALL_NEUTRAL_POSITION,-3.25,0.78,49.35,-3.18,-0.84,55.65,-5.91,-0.19,47.47
2026-07-15T19:48:03.949496,ALL_NEUTRAL_POSITION,-3.18,0.84,49.35,-3.12,-0.91,55.71,-5.84,-0.19,47.4
2026-07-15T19:48:04.001956,ALL_NEUTRAL_POSITION,-3.18,0.84,49.35,-3.12,-0.97,55.58,-5.84,-0.06,47.6
2026-07-15T19:48:04.055089,ALL_NEUTRAL_POSITION,-3.18,0.78,49.35,-3.18,-0.97,55.71,-5.78,-0.26,47.53
2026-07-15T19:48:04.107450,ALL_NEUTRAL_POSITION,-3.18,0.78,49.42,-3.12,-0.84,55.58,-5.91,-0.13,47.6
2026-07-15T19:48:04.160630,ALL_NEUTRAL_POSITION,-3.18,0.78,49.22,-3.25,-0.91,55.65,-5.78,-0.13,47.47
2026-07-15T19:48:04.214103,ALL_NEUTRAL_POSITION,-3.25,0.84,49.29,-3.12,-0.97,55.58,-5.78,-0.26,47.34
2026-07-15T19:48:04.266060,ALL_NEUTRAL_POSITION,-3.25,0.71,49.29,-3.12,-0.71,55.65,-5.84,-0.26,47.4
