timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T20:11:52.779593,ALL_X1.5mm,9.22,1.49,48.05,8.05,-2.92,53.7,5.97,2.08,47.66
2026-07-15T20:11:52.831417,ALL_X1.5mm,9.09,1.36,48.12,8.05,-2.92,53.64,5.91,2.14,47.47
2026-07-15T20:11:52.884415,ALL_X1.5mm,9.16,1.62,48.12,8.12,-2.92,53.64,6.1,2.21,47.66
2026-07-15T20:11:52.936471,ALL_X1.5mm,9.22,1.56,48.18,8.05,-2.86,53.7,6.04,2.21,47.66
2026-07-15T20:11:52.989060,ALL_X1.5mm,9.09,1.62,48.18,8.12,-2.86,53.64,6.04,2.14,47.66
2026-07-15T20:11:53.042813,ALL_X1.5mm,9.09,1.43,48.18,8.05,-2.86,53.64,6.04,2.08,47.6
2026-07-15T20:11:53.095955,ALL_X1.5mm,9.09,1.49,48.12,8.05,-2.92,53.64,6.04,2.08,47.6
2026-07-15T20:11:53.148730,ALL_X1.5mm,9.16,1.43,48.18,8.05,-2.86,53.7,6.04,2.01,47.47
2026-07-15T20:11:53.201118,ALL_X1.5mm,9.09,1.56,48.18,8.05,-2.92,53.7,6.1,2.01,47.4
2026-07-15T20:11:53.253361,ALL_X1.5mm,9.09,1.56,48.05,8.05,-2.79,53.7,5.97,2.14,47.4
2026-07-15T20:11:53.306908,ALL_X1.5mm,9.16,1.49,48.12,8.12,-2.86,53.57,5.97,2.08,47.53
2026-07-15T20:11:53.368549,ALL_X1.5mm,9.09,1.43,48.12,8.05,-2.86,53.64,5.97,2.14,47.53
2026-07-15T20:11:53.412058,ALL_X1.5mm,9.09,1.49,48.18,8.12,-2.86,53.57,5.97,2.08,47.53
2026-07-15T20:11:53.465134,ALL_X1.5mm,9.22,1.56,48.12,7.99,-2.99,53.7,5.84,2.21,47.6
2026-07-15T20:11:53.518253,ALL_X1.5mm,9.03,1.43,48.18,7.92,-2.99,53.57,5.97,2.08,47.66
2026-07-15T20:11:53.571296,ALL_X1.5mm,9.09,1.49,48.12,7.99,-2.73,53.64,6.1,2.14,47.53
2026-07-15T20:11:53.623210,ALL_X1.5mm,9.22,1.49,48.12,8.12,-2.99,53.64,5.97,2.01,47.6
2026-07-15T20:11:53.676409,ALL_X1.5mm,9.03,1.62,48.12,8.12,-2.86,53.57,5.91,2.08,47.6
2026-07-15T20:11:53.729546,ALL_X1.5mm,9.16,1.49,48.18,8.12,-2.86,53.7,6.04,2.08,47.6
2026-07-15T20:11:53.781623,ALL_X1.5mm,9.09,1.49,48.12,8.05,-3.05,53.7,5.97,2.01,47.53
2026-07-15T20:11:53.834736,ALL_X1.5mm,9.03,1.43,48.12,8.12,-2.92,53.64,6.04,2.01,47.6
