timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T20:20:42.404710,ALL_X-1.5mm,-12.73,0.78,46.49,-13.25,-1.75,49.03,-14.48,1.82,42.86
2026-07-15T20:20:42.455136,ALL_X-1.5mm,-12.73,0.65,46.62,-13.38,-1.88,49.09,-14.35,1.82,42.92
2026-07-15T20:20:42.508054,ALL_X-1.5mm,-12.73,0.58,46.56,-13.38,-1.82,49.09,-14.42,1.75,42.79
2026-07-15T20:20:42.560962,ALL_X-1.5mm,-12.86,0.71,46.43,-13.38,-1.88,49.03,-14.48,1.82,42.79
2026-07-15T20:20:42.613877,ALL_X-1.5mm,-12.73,0.71,46.49,-13.31,-1.69,49.03,-14.48,1.82,42.86
2026-07-15T20:20:42.666775,ALL_X-1.5mm,-12.73,0.71,46.62,-13.25,-1.82,49.09,-14.35,1.82,42.86
2026-07-15T20:20:42.719638,ALL_X-1.5mm,-12.73,0.71,46.56,-13.38,-1.82,49.09,-14.35,1.82,42.79
2026-07-15T20:20:42.772538,ALL_X-1.5mm,-12.66,0.71,46.43,-13.25,-1.75,49.09,-14.42,1.88,42.86
2026-07-15T20:20:42.825465,ALL_X-1.5mm,-12.79,0.71,46.56,-13.25,-1.82,49.09,-14.42,1.82,42.86
2026-07-15T20:20:42.878967,ALL_X-1.5mm,-12.79,0.65,46.62,-13.25,-1.75,49.09,-14.48,1.82,42.73
2026-07-15T20:20:42.931959,ALL_X-1.5mm,-12.79,0.71,46.56,-13.31,-1.88,49.03,-14.48,1.69,42.79
2026-07-15T20:20:42.984224,ALL_X-1.5mm,-12.79,0.84,46.49,-13.25,-1.82,49.03,-14.35,1.62,42.86
2026-07-15T20:20:43.037077,ALL_X-1.5mm,-12.73,0.65,46.56,-13.38,-1.88,49.03,-14.42,1.82,42.79
2026-07-15T20:20:43.090150,ALL_X-1.5mm,-12.73,0.65,46.49,-13.31,-1.75,48.96,-14.55,1.69,42.66
2026-07-15T20:20:43.143192,ALL_X-1.5mm,-12.99,0.65,46.49,-13.25,-1.88,49.09,-14.48,1.82,42.79
2026-07-15T20:20:43.196159,ALL_X-1.5mm,-12.73,0.78,46.56,-13.25,-1.75,49.03,-14.48,1.69,42.66
2026-07-15T20:20:43.248646,ALL_X-1.5mm,-12.79,0.65,46.49,-13.31,-1.82,49.09,-14.48,1.69,42.86
2026-07-15T20:20:43.301519,ALL_X-1.5mm,-12.66,0.65,46.56,-13.31,-1.82,49.09,-14.35,1.88,42.73
2026-07-15T20:20:43.375092,ALL_X-1.5mm,-12.66,0.71,46.49,-13.18,-1.82,49.09,-14.42,1.75,42.79
2026-07-15T20:20:43.407503,ALL_X-1.5mm,-12.66,0.71,46.56,-13.25,-1.69,49.03,-14.35,1.69,42.73
2026-07-15T20:20:43.460575,ALL_X-1.5mm,-12.73,0.71,46.49,-13.18,-1.82,49.16,-14.48,1.88,42.66
2026-07-15T20:20:43.513158,ALL_X-1.5mm,-12.79,0.71,46.49,-13.25,-1.82,49.09,-14.35,1.82,42.86
2026-07-15T20:20:43.566051,ALL_X-1.5mm,-12.79,0.65,46.56,-13.25,-1.88,49.03,-14.29,1.75,42.86
2026-07-15T20:20:43.618924,ALL_X-1.5mm,-12.79,0.78,46.43,-13.25,-1.75,49.16,-14.42,1.82,42.86
2026-07-15T20:20:43.671891,ALL_X-1.5mm,-12.79,0.78,46.56,-13.31,-1.88,49.09,-14.48,1.82,42.86
2026-07-15T20:20:43.724931,ALL_X-1.5mm,-12.73,0.65,46.49,-13.25,-1.88,49.09,-14.42,1.82,42.73
2026-07-15T20:20:43.777610,ALL_X-1.5mm,-12.79,0.58,46.49,-13.18,-1.82,49.16,-14.48,1.75,42.79
