timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T21:25:26.263383,ALL_Z4mm,-1.17,0.52,17.66,0.19,-0.45,19.55,-1.23,-0.45,16.82
2026-07-15T21:25:26.316774,ALL_Z4mm,-1.3,0.45,17.66,0.06,-0.45,19.48,-1.1,-0.39,16.88
2026-07-15T21:25:26.383135,ALL_Z4mm,-1.23,0.52,17.6,0.13,-0.45,19.48,-1.23,-0.39,16.88
2026-07-15T21:25:26.462988,ALL_Z4mm,-1.1,0.52,17.6,0.06,-0.39,19.55,-1.17,-0.32,16.95
2026-07-15T21:25:26.486015,ALL_Z4mm,-1.23,0.45,17.66,0.06,-0.45,19.55,-1.17,-0.39,16.95
2026-07-15T21:25:26.530168,ALL_Z4mm,-1.23,0.45,17.66,-0.06,-0.39,19.61,-1.17,-0.58,16.82
2026-07-15T21:25:26.580494,ALL_Z4mm,-1.1,0.45,17.6,0.0,-0.58,19.61,-1.23,-0.39,16.75
2026-07-15T21:25:26.633418,ALL_Z4mm,-1.17,0.58,17.6,0.06,-0.39,19.48,-1.17,-0.39,16.75
2026-07-15T21:25:26.686127,ALL_Z4mm,-1.3,0.39,17.66,0.13,-0.45,19.48,-1.17,-0.45,16.88
2026-07-15T21:25:26.738985,ALL_Z4mm,-1.17,0.39,17.53,0.0,-0.45,19.48,-1.36,-0.39,16.82
2026-07-15T21:25:26.792162,ALL_Z4mm,-1.23,0.45,17.66,0.19,-0.52,19.48,-1.17,-0.45,16.82
2026-07-15T21:25:26.845236,ALL_Z4mm,-1.3,0.45,17.66,0.13,-0.65,19.55,-1.23,-0.52,16.82
2026-07-15T21:25:26.898323,ALL_Z4mm,-1.17,0.45,17.66,0.13,-0.52,19.48,-1.23,-0.45,16.82
2026-07-15T21:25:26.950711,ALL_Z4mm,-1.17,0.45,17.66,0.19,-0.45,19.55,-1.1,-0.39,16.88
2026-07-15T21:25:27.003541,ALL_Z4mm,-1.23,0.39,17.66,0.13,-0.52,19.61,-1.3,-0.45,16.82
2026-07-15T21:25:27.056404,ALL_Z4mm,-1.17,0.52,17.6,0.13,-0.52,19.48,-1.17,-0.52,16.82
2026-07-15T21:25:27.109549,ALL_Z4mm,-1.23,0.52,17.66,0.13,-0.58,19.55,-1.23,-0.39,16.88
2026-07-15T21:25:27.162012,ALL_Z4mm,-1.1,0.45,17.53,0.13,-0.45,19.48,-1.17,-0.45,16.88
2026-07-15T21:25:27.215859,ALL_Z4mm,-1.23,0.52,17.6,0.13,-0.52,19.48,-1.3,-0.39,16.88
2026-07-15T21:25:27.268426,ALL_Z4mm,-1.3,0.52,17.66,0.13,-0.45,19.48,-1.17,-0.45,16.95
2026-07-15T21:25:27.320811,ALL_Z4mm,-1.3,0.52,17.6,0.13,-0.58,19.48,-1.23,-0.45,16.88
2026-07-15T21:25:27.387177,ALL_Z4mm,-1.23,0.58,17.6,0.06,-0.45,19.55,-1.17,-0.65,16.88
2026-07-15T21:25:27.471485,ALL_Z4mm,-1.23,0.52,17.6,0.06,-0.45,19.48,-1.17,-0.52,16.75
2026-07-15T21:25:27.495837,ALL_Z4mm,-1.3,0.52,17.6,0.0,-0.45,19.61,-1.17,-0.52,16.82
2026-07-15T21:25:27.531818,ALL_Z4mm,-1.23,0.52,17.6,-0.06,-0.52,19.55,-1.17,-0.39,16.82
2026-07-15T21:25:27.585149,ALL_Z4mm,-1.17,0.52,17.66,0.13,-0.45,19.48,-1.17,-0.39,16.88
2026-07-15T21:25:27.638181,ALL_Z4mm,-1.23,0.45,17.73,0.13,-0.52,19.55,-1.17,-0.39,16.88
2026-07-15T21:25:27.690534,ALL_Z4mm,-1.17,0.39,17.6,0.13,-0.39,19.55,-1.3,-0.45,16.88
