timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T21:48:11.488135,ALL_RZ15deg,20.0,4.48,30.13,-9.55,-20.58,27.53,-15.19,14.74,24.68
2026-07-15T21:48:11.488405,ALL_RZ15deg,20.06,4.48,30.06,-9.48,-20.58,27.6,-15.32,14.61,24.68
2026-07-15T21:48:11.488583,ALL_RZ15deg,19.87,4.35,30.13,-9.48,-20.65,27.6,-15.19,14.74,24.61
2026-07-15T21:48:11.531009,ALL_RZ15deg,19.87,4.42,30.26,-9.61,-20.58,27.6,-15.26,14.81,24.68
2026-07-15T21:48:11.583888,ALL_RZ15deg,19.94,4.61,30.26,-9.48,-20.71,27.66,-15.13,14.68,24.61
2026-07-15T21:48:11.636732,ALL_RZ15deg,19.94,4.55,30.19,-9.61,-20.65,27.6,-15.26,14.61,24.74
2026-07-15T21:48:11.689575,ALL_RZ15deg,20.0,4.48,30.19,-9.61,-20.58,27.6,-15.32,14.68,24.68
2026-07-15T21:48:11.742504,ALL_RZ15deg,19.94,4.48,30.13,-9.48,-20.65,27.66,-15.32,14.68,24.61
2026-07-15T21:48:11.795393,ALL_RZ15deg,20.0,4.42,30.19,-9.55,-20.58,27.73,-15.26,14.68,24.55
2026-07-15T21:48:11.848136,ALL_RZ15deg,19.87,4.42,30.13,-9.48,-20.58,27.66,-15.26,14.81,24.74
2026-07-15T21:48:11.900952,ALL_RZ15deg,19.94,4.48,30.13,-9.68,-20.58,27.6,-15.26,14.68,24.61
2026-07-15T21:48:11.954533,ALL_RZ15deg,20.06,4.35,30.13,-9.61,-20.78,27.6,-15.26,14.81,24.81
2026-07-15T21:48:12.006692,ALL_RZ15deg,19.87,4.35,30.19,-9.55,-20.65,27.66,-15.39,14.61,24.55
2026-07-15T21:48:12.059383,ALL_RZ15deg,19.94,4.55,30.13,-9.55,-20.58,27.66,-15.32,14.61,24.68
2026-07-15T21:48:12.112760,ALL_RZ15deg,19.94,4.48,30.13,-9.48,-20.52,27.53,-15.19,14.74,24.55
2026-07-15T21:48:12.165879,ALL_RZ15deg,19.94,4.42,30.19,-9.48,-20.71,27.53,-15.26,14.74,24.61
2026-07-15T21:48:12.218061,ALL_RZ15deg,20.0,4.48,30.19,-9.55,-20.65,27.6,-15.19,14.68,24.61
2026-07-15T21:48:12.270995,ALL_RZ15deg,20.0,4.48,30.19,-9.55,-20.65,27.6,-15.19,14.68,24.68
2026-07-15T21:48:12.323583,ALL_RZ15deg,20.0,4.48,30.19,-9.48,-20.58,27.6,-15.19,14.61,24.61
2026-07-15T21:48:12.389064,ALL_RZ15deg,19.87,4.55,30.26,-9.48,-20.71,27.6,-15.26,14.74,24.61
2026-07-15T21:48:12.482824,ALL_RZ15deg,19.94,4.48,30.19,-9.55,-20.65,27.6,-15.32,14.68,24.61
2026-07-15T21:48:12.483012,ALL_RZ15deg,19.94,4.35,30.19,-9.55,-20.65,27.73,-15.39,14.68,24.61
2026-07-15T21:48:12.535004,ALL_RZ15deg,19.94,4.55,30.06,-9.48,-20.58,27.66,-15.32,14.68,24.68
2026-07-15T21:48:12.588333,ALL_RZ15deg,20.0,4.48,30.13,-9.61,-20.52,27.6,-15.26,14.68,24.68
2026-07-15T21:48:12.641430,ALL_RZ15deg,19.87,4.55,30.13,-9.68,-20.65,27.6,-15.19,14.68,24.74
2026-07-15T21:48:12.693757,ALL_RZ15deg,19.94,4.42,30.19,-9.61,-20.71,27.66,-15.19,14.87,24.74
2026-07-15T21:48:12.746588,ALL_RZ15deg,20.0,4.55,30.19,-9.55,-20.71,27.6,-15.32,14.74,24.68
2026-07-15T21:48:12.799608,ALL_RZ15deg,19.87,4.48,30.13,-9.48,-20.58,27.6,-15.26,14.74,24.61
2026-07-15T21:48:12.852768,ALL_RZ15deg,20.0,4.42,30.13,-9.55,-20.71,27.66,-15.26,14.68,24.68
2026-07-15T21:48:12.904862,ALL_RZ15deg,19.87,4.42,30.13,-9.55,-20.65,27.66,-15.45,14.81,24.61
2026-07-15T21:48:12.957806,ALL_RZ15deg,19.87,4.55,30.13,-9.48,-20.58,27.73,-15.19,14.61,24.68
2026-07-15T21:48:13.011092,ALL_RZ15deg,19.94,4.42,30.19,-9.42,-20.78,27.6,-15.19,14.61,24.55
2026-07-15T21:48:13.063966,ALL_RZ15deg,19.94,4.42,30.13,-9.55,-20.58,27.53,-15.19,14.68,24.68
2026-07-15T21:48:13.116055,ALL_RZ15deg,19.94,4.42,30.19,-9.48,-20.71,27.53,-15.26,14.81,24.68
2026-07-15T21:48:13.169058,ALL_RZ15deg,20.0,4.42,30.13,-9.42,-20.65,27.6,-15.32,14.74,24.68
2026-07-15T21:48:13.221693,ALL_RZ15deg,20.06,4.48,30.26,-9.48,-20.65,27.6,-15.19,14.68,24.61
2026-07-15T21:48:13.275379,ALL_RZ15deg,19.87,4.35,30.19,-9.42,-20.65,27.66,-15.26,14.61,24.74
2026-07-15T21:48:13.327745,ALL_RZ15deg,20.06,4.48,30.13,-9.61,-20.52,27.53,-15.26,14.74,24.61
2026-07-15T21:48:13.396050,ALL_RZ15deg,19.87,4.55,30.13,-9.55,-20.58,27.6,-15.32,14.74,24.61
2026-07-15T21:48:13.484804,ALL_RZ15deg,20.0,4.55,30.19,-9.48,-20.71,27.6,-15.26,14.61,24.81
2026-07-15T21:48:13.485536,ALL_RZ15deg,19.94,4.42,30.13,-9.61,-20.58,27.53,-15.32,14.61,24.68
2026-07-15T21:48:13.538427,ALL_RZ15deg,20.0,4.48,30.06,-9.55,-20.71,27.6,-15.32,14.74,24.81
2026-07-15T21:48:13.591542,ALL_RZ15deg,20.0,4.48,30.19,-9.48,-20.71,27.6,-15.32,14.68,24.68
2026-07-15T21:48:13.644600,ALL_RZ15deg,19.94,4.48,30.19,-9.42,-20.65,27.6,-15.32,14.68,24.74
2026-07-15T21:48:13.697679,ALL_RZ15deg,19.87,4.55,30.19,-9.61,-20.58,27.6,-15.19,14.74,24.68
2026-07-15T21:48:13.749949,ALL_RZ15deg,19.94,4.42,30.13,-9.48,-20.65,27.66,-15.26,14.74,24.61
2026-07-15T21:48:13.802872,ALL_RZ15deg,20.0,4.35,30.19,-9.61,-20.58,27.66,-15.19,14.61,24.68
2026-07-15T21:48:13.855596,ALL_RZ15deg,19.94,4.48,30.19,-9.55,-20.65,27.6,-15.26,14.68,24.68
