timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T19:24:09.730809,M1_RZ120deg,0.45,0.65,-0.45,0.84,0.0,-0.71,-5.0,1.95,51.56
2026-07-15T19:24:09.784259,M1_RZ120deg,0.45,0.58,-0.52,0.97,0.13,-0.84,-5.0,1.82,51.43
2026-07-15T19:24:09.836418,M1_RZ120deg,0.52,0.65,-0.52,0.97,0.06,-0.71,-4.94,1.82,51.49
2026-07-15T19:24:09.889412,M1_RZ120deg,0.52,0.52,-0.45,1.04,0.0,-0.65,-5.0,1.88,51.56
2026-07-15T19:24:09.942432,M1_RZ120deg,0.52,0.58,-0.52,0.91,0.06,-0.78,-4.94,1.75,51.49
2026-07-15T19:24:09.994892,M1_RZ120deg,0.52,0.58,-0.39,0.91,-0.06,-0.58,-5.0,1.69,51.56
2026-07-15T19:24:10.047503,M1_RZ120deg,0.52,0.65,-0.39,0.84,0.0,-0.71,-4.87,1.75,51.62
2026-07-15T19:24:10.100699,M1_RZ120deg,0.45,0.58,-0.39,0.91,0.06,-0.65,-4.94,1.82,51.69
2026-07-15T19:24:10.153733,M1_RZ120deg,0.45,0.65,-0.45,0.97,0.0,-0.71,-4.94,1.69,51.62
2026-07-15T19:24:10.206912,M1_RZ120deg,0.52,0.58,-0.45,0.91,-0.06,-0.65,-4.94,1.75,51.56
2026-07-15T19:24:10.290580,M1_RZ120deg,0.52,0.58,-0.52,1.04,0.06,-0.65,-4.94,1.82,51.43
2026-07-15T19:24:10.311878,M1_RZ120deg,0.52,0.52,-0.45,0.84,0.06,-0.65,-4.87,1.82,51.43
2026-07-15T19:24:10.364247,M1_RZ120deg,0.52,0.71,-0.45,0.71,0.06,-0.71,-4.94,1.75,51.49
2026-07-15T19:24:10.418188,M1_RZ120deg,0.52,0.65,-0.52,0.78,0.0,-0.71,-5.0,1.82,51.56
2026-07-15T19:24:10.471266,M1_RZ120deg,0.58,0.65,-0.52,0.97,0.0,-0.71,-5.0,1.88,51.49
2026-07-15T19:24:10.522949,M1_RZ120deg,0.45,0.65,-0.45,0.91,0.0,-0.65,-4.94,1.88,51.56
2026-07-15T19:24:10.575826,M1_RZ120deg,0.45,0.52,-0.45,0.91,0.06,-0.65,-4.94,1.88,51.62
2026-07-15T19:24:10.629259,M1_RZ120deg,0.45,0.58,-0.45,1.04,0.06,-0.65,-5.06,1.88,51.49
