timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T19:32:30.738485,M2_NEUTRAL_POSITION,-0.39,0.52,-0.58,-5.45,-2.14,55.78,-0.58,0.0,-0.91
2026-07-15T19:32:30.788953,M2_NEUTRAL_POSITION,-0.52,0.52,-0.52,-5.52,-2.21,55.78,-0.65,-0.06,-0.91
2026-07-15T19:32:30.842006,M2_NEUTRAL_POSITION,-0.32,0.45,-0.58,-5.58,-2.21,55.78,-0.45,0.0,-0.84
2026-07-15T19:32:30.894593,M2_NEUTRAL_POSITION,-0.32,0.65,-0.52,-5.52,-2.21,55.78,-0.52,0.0,-0.84
2026-07-15T19:32:30.947840,M2_NEUTRAL_POSITION,-0.45,0.52,-0.52,-5.52,-2.14,55.78,-0.58,0.0,-0.97
2026-07-15T19:32:31.000991,M2_NEUTRAL_POSITION,-0.39,0.52,-0.39,-5.45,-2.21,55.78,-0.58,-0.06,-0.97
2026-07-15T19:32:31.053259,M2_NEUTRAL_POSITION,-0.39,0.45,-0.45,-5.58,-2.21,55.84,-0.45,-0.13,-0.91
2026-07-15T19:32:31.106807,M2_NEUTRAL_POSITION,-0.39,0.52,-0.52,-5.58,-2.21,55.84,-0.71,0.13,-0.91
2026-07-15T19:32:31.159920,M2_NEUTRAL_POSITION,-0.32,0.58,-0.45,-5.58,-2.21,55.78,-0.58,-0.06,-0.84
2026-07-15T19:32:31.211912,M2_NEUTRAL_POSITION,-0.32,0.52,-0.45,-5.39,-2.21,55.78,-0.65,0.0,-0.84
2026-07-15T19:32:31.281433,M2_NEUTRAL_POSITION,-0.39,0.58,-0.39,-5.45,-2.21,55.84,-0.65,0.0,-0.84
2026-07-15T19:32:31.317607,M2_NEUTRAL_POSITION,-0.32,0.52,-0.39,-5.58,-2.14,55.84,-0.58,-0.06,-0.91
2026-07-15T19:32:31.370636,M2_NEUTRAL_POSITION,-0.32,0.52,-0.45,-5.58,-2.21,55.91,-0.65,0.0,-0.97
2026-07-15T19:32:31.423438,M2_NEUTRAL_POSITION,-0.39,0.65,-0.45,-5.45,-2.14,55.71,-0.58,0.06,-0.78
2026-07-15T19:32:31.476260,M2_NEUTRAL_POSITION,-0.32,0.52,-0.52,-5.52,-2.21,55.78,-0.52,0.06,-0.91
2026-07-15T19:32:31.529324,M2_NEUTRAL_POSITION,-0.32,0.58,-0.45,-5.52,-2.14,55.78,-0.58,0.0,-0.78
2026-07-15T19:32:31.582407,M2_NEUTRAL_POSITION,-0.32,0.65,-0.52,-5.71,-2.14,55.71,-0.52,0.0,-0.84
2026-07-15T19:32:31.634928,M2_NEUTRAL_POSITION,-0.45,0.58,-0.45,-5.52,-2.14,55.71,-0.58,-0.06,-0.91
2026-07-15T19:32:31.688553,M2_NEUTRAL_POSITION,-0.32,0.45,-0.45,-5.52,-2.21,55.84,-0.58,0.06,-0.91
2026-07-15T19:32:31.740930,M2_NEUTRAL_POSITION,-0.32,0.52,-0.45,-5.58,-2.21,55.78,-0.52,0.06,-0.97
2026-07-15T19:32:31.793951,M2_NEUTRAL_POSITION,-0.39,0.52,-0.39,-5.52,-2.14,55.78,-0.58,0.0,-0.91
2026-07-15T19:32:31.846727,M2_NEUTRAL_POSITION,-0.39,0.65,-0.45,-5.65,-2.08,55.78,-0.52,0.06,-0.91
2026-07-15T19:32:31.899832,M2_NEUTRAL_POSITION,-0.45,0.52,-0.52,-5.52,-2.21,55.78,-0.45,0.06,-0.97
2026-07-15T19:32:31.952812,M2_NEUTRAL_POSITION,-0.32,0.52,-0.52,-5.45,-2.08,55.84,-0.58,0.0,-0.84
2026-07-15T19:32:32.005165,M2_NEUTRAL_POSITION,-0.45,0.65,-0.52,-5.65,-2.14,55.78,-0.58,0.0,-0.78
2026-07-15T19:32:32.058260,M2_NEUTRAL_POSITION,-0.32,0.58,-0.45,-5.52,-2.21,55.84,-0.52,0.06,-0.84
2026-07-15T19:32:32.111067,M2_NEUTRAL_POSITION,-0.19,0.52,-0.45,-5.52,-2.14,55.84,-0.58,-0.06,-0.84
2026-07-15T19:32:32.163373,M2_NEUTRAL_POSITION,-0.45,0.58,-0.45,-5.58,-2.27,55.84,-0.58,0.0,-0.84
2026-07-15T19:32:32.216324,M2_NEUTRAL_POSITION,-0.32,0.52,-0.52,-5.65,-2.14,55.84,-0.65,0.06,-0.97
2026-07-15T19:32:32.274836,M2_NEUTRAL_POSITION,-0.26,0.58,-0.45,-5.58,-2.14,55.78,-0.58,0.06,-1.04
2026-07-15T19:32:32.322251,M2_NEUTRAL_POSITION,-0.39,0.65,-0.39,-5.65,-2.01,55.78,-0.65,0.0,-0.91
2026-07-15T19:32:32.375357,M2_NEUTRAL_POSITION,-0.32,0.52,-0.45,-5.58,-2.14,55.78,-0.65,-0.06,-0.91
2026-07-15T19:32:32.428460,M2_NEUTRAL_POSITION,-0.32,0.58,-0.39,-5.45,-2.08,55.78,-0.52,0.06,-0.91
2026-07-15T19:32:32.481491,M2_NEUTRAL_POSITION,-0.32,0.58,-0.52,-5.58,-2.01,55.84,-0.58,0.06,-0.84
2026-07-15T19:32:32.533677,M2_NEUTRAL_POSITION,-0.52,0.52,-0.52,-5.58,-2.14,55.84,-0.65,0.13,-0.84
2026-07-15T19:32:32.586842,M2_NEUTRAL_POSITION,-0.32,0.58,-0.39,-5.58,-2.21,55.78,-0.58,0.0,-0.78
2026-07-15T19:32:32.639910,M2_NEUTRAL_POSITION,-0.45,0.52,-0.52,-5.52,-2.01,55.84,-0.58,0.19,-0.91
2026-07-15T19:32:32.692799,M2_NEUTRAL_POSITION,-0.39,0.58,-0.45,-5.52,-2.27,55.91,-0.58,0.0,-0.84
2026-07-15T19:32:32.746392,M2_NEUTRAL_POSITION,-0.32,0.58,-0.45,-5.52,-2.14,55.84,-0.52,-0.06,-0.84
2026-07-15T19:32:32.798425,M2_NEUTRAL_POSITION,-0.45,0.52,-0.52,-5.52,-2.08,55.91,-0.58,0.06,-0.97
2026-07-15T19:32:32.851181,M2_NEUTRAL_POSITION,-0.39,0.65,-0.39,-5.58,-2.08,55.78,-0.45,-0.06,-0.91
2026-07-15T19:32:32.904134,M2_NEUTRAL_POSITION,-0.32,0.52,-0.45,-5.45,-2.14,55.91,-0.58,0.0,-0.84
2026-07-15T19:32:32.956901,M2_NEUTRAL_POSITION,-0.39,0.78,-0.52,-5.45,-2.21,55.78,-0.58,0.0,-0.84
2026-07-15T19:32:33.009110,M2_NEUTRAL_POSITION,-0.52,0.58,-0.52,-5.58,-2.21,55.84,-0.52,0.06,-1.04
2026-07-15T19:32:33.063344,M2_NEUTRAL_POSITION,-0.39,0.58,-0.52,-5.45,-2.14,55.78,-0.58,0.13,-0.84
2026-07-15T19:32:33.115523,M2_NEUTRAL_POSITION,-0.45,0.52,-0.39,-5.52,-2.08,55.78,-0.52,0.0,-0.84
2026-07-15T19:32:33.167945,M2_NEUTRAL_POSITION,-0.32,0.52,-0.45,-5.65,-2.14,55.78,-0.52,0.06,-0.91
2026-07-15T19:32:33.220347,M2_NEUTRAL_POSITION,-0.39,0.45,-0.45,-5.52,-2.14,55.78,-0.58,-0.06,-0.84
2026-07-15T19:32:33.293158,M2_NEUTRAL_POSITION,-0.32,0.58,-0.52,-5.45,-2.14,55.78,-0.58,0.0,-0.91
2026-07-15T19:32:33.326492,M2_NEUTRAL_POSITION,-0.39,0.58,-0.52,-5.58,-2.14,55.78,-0.65,0.19,-0.71
2026-07-15T19:32:33.378964,M2_NEUTRAL_POSITION,-0.52,0.65,-0.45,-5.58,-2.14,55.84,-0.58,0.0,-0.84
2026-07-15T19:32:33.431772,M2_NEUTRAL_POSITION,-0.39,0.65,-0.45,-5.45,-2.08,55.84,-0.58,0.0,-0.91
2026-07-15T19:32:33.484708,M2_NEUTRAL_POSITION,-0.32,0.52,-0.45,-5.45,-2.21,55.78,-0.58,0.0,-0.84
2026-07-15T19:32:33.537747,M2_NEUTRAL_POSITION,-0.32,0.52,-0.45,-5.58,-2.21,55.78,-0.52,0.0,-0.84
2026-07-15T19:32:33.590696,M2_NEUTRAL_POSITION,-0.26,0.58,-0.45,-5.45,-2.08,55.84,-0.58,-0.06,-0.84
2026-07-15T19:32:33.643490,M2_NEUTRAL_POSITION,-0.39,0.58,-0.52,-5.52,-2.08,55.78,-0.52,-0.06,-0.91
