timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T19:36:34.495046,M2_RZ-120deg,0.52,0.65,-0.45,0.91,0.0,-0.71,-3.83,1.69,52.4
2026-07-15T19:36:34.547147,M2_RZ-120deg,0.52,0.65,-0.45,0.91,0.06,-0.65,-3.57,1.56,52.34
2026-07-15T19:36:34.600063,M2_RZ-120deg,0.45,0.52,-0.52,0.91,0.06,-0.65,-3.77,1.49,52.34
2026-07-15T19:36:34.653207,M2_RZ-120deg,0.45,0.52,-0.45,0.97,0.06,-0.71,-3.83,1.69,52.27
2026-07-15T19:36:34.706333,M2_RZ-120deg,0.52,0.65,-0.45,1.04,-0.06,-0.71,-3.77,1.69,52.47
2026-07-15T19:36:34.759399,M2_RZ-120deg,0.45,0.58,-0.45,1.04,0.06,-0.71,-3.77,1.69,52.53
2026-07-15T19:36:34.811875,M2_RZ-120deg,0.52,0.65,-0.39,0.97,0.0,-0.71,-3.83,1.62,52.34
2026-07-15T19:36:34.864759,M2_RZ-120deg,0.65,0.52,-0.45,0.97,0.06,-0.78,-3.77,1.49,52.47
2026-07-15T19:36:34.917107,M2_RZ-120deg,0.52,0.58,-0.52,1.04,0.0,-0.71,-3.83,1.56,52.34
2026-07-15T19:36:34.969608,M2_RZ-120deg,0.52,0.52,-0.45,1.04,0.06,-0.71,-3.83,1.62,52.34
2026-07-15T19:36:35.022691,M2_RZ-120deg,0.52,0.58,-0.52,0.97,0.0,-0.71,-3.83,1.62,52.34
2026-07-15T19:36:35.075585,M2_RZ-120deg,0.58,0.58,-0.45,0.91,0.0,-0.71,-3.77,1.69,52.4
2026-07-15T19:36:35.128709,M2_RZ-120deg,0.45,0.52,-0.52,0.97,0.06,-0.71,-3.83,1.62,52.4
2026-07-15T19:36:35.182810,M2_RZ-120deg,0.45,0.58,-0.39,0.97,-0.06,-0.71,-3.77,1.69,52.34
2026-07-15T19:36:35.234108,M2_RZ-120deg,0.58,0.52,-0.45,0.97,-0.06,-0.71,-3.83,1.62,52.53
2026-07-15T19:36:35.293387,M2_RZ-120deg,0.52,0.52,-0.52,0.91,-0.06,-0.71,-3.77,1.69,52.47
2026-07-15T19:36:35.340017,M2_RZ-120deg,0.58,0.52,-0.52,0.97,0.06,-0.71,-3.83,1.75,52.4
2026-07-15T19:36:35.393076,M2_RZ-120deg,0.52,0.65,-0.52,0.97,-0.06,-0.78,-3.83,1.62,52.34
2026-07-15T19:36:35.446155,M2_RZ-120deg,0.45,0.52,-0.39,0.97,0.0,-0.71,-3.83,1.62,52.27
2026-07-15T19:36:35.498327,M2_RZ-120deg,0.52,0.52,-0.52,0.97,-0.06,-0.71,-3.77,1.75,52.47
2026-07-15T19:36:35.551157,M2_RZ-120deg,0.52,0.45,-0.39,0.84,0.06,-0.71,-3.9,1.69,52.4
2026-07-15T19:36:35.604099,M2_RZ-120deg,0.58,0.58,-0.45,0.84,-0.06,-0.78,-3.83,1.56,52.47
2026-07-15T19:36:35.657671,M2_RZ-120deg,0.52,0.45,-0.52,0.97,0.0,-0.71,-3.77,1.69,52.4
2026-07-15T19:36:35.710648,M2_RZ-120deg,0.45,0.58,-0.45,0.91,-0.06,-0.71,-3.9,1.62,52.47
2026-07-15T19:36:35.762953,M2_RZ-120deg,0.58,0.45,-0.45,0.91,0.0,-0.78,-3.77,1.69,52.4
2026-07-15T19:36:35.815981,M2_RZ-120deg,0.45,0.52,-0.52,0.84,0.0,-0.58,-3.83,1.62,52.4
2026-07-15T19:36:35.868632,M2_RZ-120deg,0.58,0.58,-0.52,0.97,0.0,-0.78,-3.9,1.69,52.4
2026-07-15T19:36:35.921697,M2_RZ-120deg,0.52,0.65,-0.45,0.97,0.0,-0.65,-3.77,1.62,52.47
2026-07-15T19:36:35.973747,M2_RZ-120deg,0.45,0.65,-0.45,0.78,0.13,-0.71,-3.7,1.49,52.4
2026-07-15T19:36:36.027039,M2_RZ-120deg,0.45,0.58,-0.52,0.97,0.13,-0.65,-3.9,1.69,52.47
2026-07-15T19:36:36.079956,M2_RZ-120deg,0.52,0.58,-0.52,0.91,0.06,-0.65,-3.83,1.56,52.27
