timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T19:45:49.870723,ALL_NO_MAGNETS,0.06,-0.19,0.06,0.06,-0.06,0.06,0.19,-0.06,-0.39
2026-07-15T19:45:49.922479,ALL_NO_MAGNETS,0.19,-0.13,0.06,0.13,0.0,-0.06,0.26,-0.06,-0.26
2026-07-15T19:45:49.975720,ALL_NO_MAGNETS,0.13,-0.06,0.13,0.13,0.06,-0.06,0.19,0.0,-0.32
2026-07-15T19:45:50.028209,ALL_NO_MAGNETS,0.06,-0.13,0.13,-0.06,-0.13,-0.06,0.26,0.0,-0.32
2026-07-15T19:45:50.081164,ALL_NO_MAGNETS,0.13,-0.06,0.19,0.06,0.0,0.0,0.26,0.19,-0.26
2026-07-15T19:45:50.133960,ALL_NO_MAGNETS,0.06,-0.06,0.13,0.06,0.06,0.0,0.32,0.0,-0.13
2026-07-15T19:45:50.186777,ALL_NO_MAGNETS,0.06,-0.13,0.13,-0.06,-0.06,-0.06,0.13,0.06,-0.32
2026-07-15T19:45:50.240053,ALL_NO_MAGNETS,0.13,-0.13,0.19,0.06,0.0,0.0,0.32,0.06,-0.32
2026-07-15T19:45:50.293147,ALL_NO_MAGNETS,0.06,-0.19,0.26,0.13,-0.13,0.0,0.26,-0.06,-0.32
2026-07-15T19:45:50.380174,ALL_NO_MAGNETS,-0.06,-0.19,0.19,0.06,0.0,0.0,0.19,0.06,-0.19
2026-07-15T19:45:50.404015,ALL_NO_MAGNETS,0.13,-0.06,0.19,-0.06,0.06,0.0,0.13,0.0,-0.26
2026-07-15T19:45:50.452293,ALL_NO_MAGNETS,0.0,-0.13,0.13,0.0,0.06,-0.13,0.32,-0.06,-0.45
2026-07-15T19:45:50.504290,ALL_NO_MAGNETS,0.06,-0.19,0.19,0.0,0.0,0.06,0.26,0.13,-0.32
2026-07-15T19:45:50.556987,ALL_NO_MAGNETS,0.0,-0.06,0.19,0.06,0.06,-0.06,0.26,0.0,-0.26
2026-07-15T19:45:50.609800,ALL_NO_MAGNETS,0.19,-0.06,0.19,0.06,0.0,0.06,0.19,0.0,-0.32
2026-07-15T19:45:50.663601,ALL_NO_MAGNETS,0.06,-0.26,0.13,0.13,0.0,-0.06,0.13,-0.06,-0.13
2026-07-15T19:45:50.716870,ALL_NO_MAGNETS,0.13,-0.26,0.19,0.06,-0.06,-0.06,0.19,0.0,-0.13
2026-07-15T19:45:50.768867,ALL_NO_MAGNETS,0.13,-0.19,0.06,0.06,-0.06,-0.06,0.19,0.13,-0.26
2026-07-15T19:45:50.821711,ALL_NO_MAGNETS,0.13,-0.13,0.13,0.0,-0.06,-0.06,0.19,-0.06,-0.13
2026-07-15T19:45:50.874788,ALL_NO_MAGNETS,0.13,-0.19,0.26,0.13,-0.06,-0.06,0.19,0.0,-0.39
