timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T19:52:22.738660,ALL_RZ-120deg,-3.05,2.21,47.73,-2.53,-1.1,54.42,-4.22,0.13,51.43
2026-07-15T19:52:22.790824,ALL_RZ-120deg,-3.18,2.27,47.79,-2.66,-1.04,54.35,-4.22,0.13,51.43
2026-07-15T19:52:22.843684,ALL_RZ-120deg,-3.12,2.34,47.79,-2.66,-1.1,54.42,-4.22,0.26,51.43
2026-07-15T19:52:22.896961,ALL_RZ-120deg,-3.18,2.27,47.73,-2.53,-1.04,54.35,-4.16,0.19,51.49
2026-07-15T19:52:22.950142,ALL_RZ-120deg,-3.18,2.27,47.73,-2.53,-1.04,54.42,-4.16,0.13,51.49
2026-07-15T19:52:23.003063,ALL_RZ-120deg,-3.18,2.27,47.66,-2.6,-1.04,54.42,-4.16,0.06,51.56
2026-07-15T19:52:23.055909,ALL_RZ-120deg,-3.12,2.27,47.73,-2.6,-1.1,54.48,-4.16,0.19,51.56
2026-07-15T19:52:23.111682,ALL_RZ-120deg,-3.25,2.34,47.73,-2.66,-1.1,54.42,-4.16,0.06,51.49
2026-07-15T19:52:23.160714,ALL_RZ-120deg,-3.25,2.21,47.66,-2.53,-1.17,54.48,-4.09,0.06,51.36
2026-07-15T19:52:23.213698,ALL_RZ-120deg,-3.25,2.21,47.73,-2.53,-1.04,54.42,-4.09,0.19,51.43
2026-07-15T19:52:23.266594,ALL_RZ-120deg,-3.31,2.34,47.73,-2.66,-1.1,54.48,-4.09,0.13,51.56
2026-07-15T19:52:23.338371,ALL_RZ-120deg,-3.12,2.21,47.73,-2.6,-0.97,54.42,-4.09,0.06,51.49
2026-07-15T19:52:23.372370,ALL_RZ-120deg,-3.18,2.21,47.73,-2.47,-0.97,54.42,-4.16,0.0,51.56
2026-07-15T19:52:23.425516,ALL_RZ-120deg,-3.18,2.21,47.73,-2.53,-1.17,54.42,-4.22,0.19,51.49
2026-07-15T19:52:23.478575,ALL_RZ-120deg,-3.12,2.21,47.66,-2.73,-0.97,54.48,-4.29,0.13,51.43
2026-07-15T19:52:23.531716,ALL_RZ-120deg,-3.25,2.21,47.79,-2.66,-1.1,54.48,-4.09,0.19,51.56
2026-07-15T19:52:23.583977,ALL_RZ-120deg,-3.12,2.21,47.79,-2.53,-0.97,54.48,-4.29,0.13,51.43
2026-07-15T19:52:23.636840,ALL_RZ-120deg,-3.18,2.21,47.66,-2.6,-1.17,54.42,-4.22,0.13,51.36
2026-07-15T19:52:23.689623,ALL_RZ-120deg,-3.12,2.21,47.66,-2.73,-1.1,54.42,-4.16,0.13,51.49
2026-07-15T19:52:23.742583,ALL_RZ-120deg,-3.18,2.21,47.66,-2.73,-0.97,54.55,-4.16,0.13,51.56
2026-07-15T19:52:23.795585,ALL_RZ-120deg,-3.18,2.27,47.73,-2.73,-1.17,54.48,-4.22,0.06,51.43
2026-07-15T19:52:23.849163,ALL_RZ-120deg,-3.25,2.21,47.66,-2.6,-0.97,54.48,-4.16,0.06,51.56
2026-07-15T19:52:23.902427,ALL_RZ-120deg,-3.12,2.08,47.73,-2.53,-1.1,54.48,-4.22,0.06,51.62
2026-07-15T19:52:23.954878,ALL_RZ-120deg,-3.18,2.27,47.73,-2.73,-1.04,54.35,-4.22,-0.06,51.43
2026-07-15T19:52:24.007085,ALL_RZ-120deg,-3.31,2.27,47.79,-2.6,-1.04,54.55,-4.16,0.13,51.56
2026-07-15T19:52:24.060435,ALL_RZ-120deg,-3.12,2.27,47.73,-2.53,-1.04,54.42,-4.22,0.06,51.49
2026-07-15T19:52:24.113124,ALL_RZ-120deg,-3.18,2.21,47.73,-2.53,-1.17,54.48,-4.03,0.13,51.49
2026-07-15T19:52:24.165459,ALL_RZ-120deg,-3.12,2.27,47.66,-2.66,-1.04,54.48,-4.16,0.06,51.43
2026-07-15T19:52:24.218579,ALL_RZ-120deg,-3.12,2.21,47.73,-2.6,-1.04,54.42,-4.22,0.19,51.49
2026-07-15T19:52:24.271411,ALL_RZ-120deg,-3.18,2.21,47.66,-2.6,-1.17,54.42,-4.16,0.13,51.43
2026-07-15T19:52:24.353416,ALL_RZ-120deg,-3.25,2.27,47.66,-2.66,-1.1,54.48,-4.22,0.19,51.56
2026-07-15T19:52:24.378638,ALL_RZ-120deg,-3.12,2.27,47.79,-2.53,-1.04,54.42,-4.16,0.06,51.56
2026-07-15T19:52:24.429780,ALL_RZ-120deg,-3.12,2.27,47.66,-2.6,-1.04,54.42,-4.09,0.13,51.49
2026-07-15T19:52:24.482164,ALL_RZ-120deg,-3.25,2.27,47.73,-2.6,-1.04,54.48,-4.16,0.13,51.43
2026-07-15T19:52:24.535019,ALL_RZ-120deg,-3.18,2.14,47.73,-2.53,-1.04,54.35,-4.03,0.13,51.43
2026-07-15T19:52:24.587971,ALL_RZ-120deg,-3.18,2.27,47.66,-2.66,-1.04,54.42,-4.16,0.19,51.36
2026-07-15T19:52:24.640632,ALL_RZ-120deg,-3.25,2.08,47.66,-2.53,-1.17,54.42,-4.09,0.06,51.56
2026-07-15T19:52:24.693510,ALL_RZ-120deg,-3.18,2.27,47.73,-2.66,-1.17,54.42,-4.09,0.13,51.43
2026-07-15T19:52:24.747296,ALL_RZ-120deg,-3.12,2.21,47.66,-2.6,-1.04,54.48,-4.22,0.06,51.43
2026-07-15T19:52:24.800332,ALL_RZ-120deg,-3.18,2.34,47.79,-2.73,-1.17,54.48,-4.03,0.13,51.36
2026-07-15T19:52:24.852134,ALL_RZ-120deg,-3.18,2.21,47.73,-2.73,-0.97,54.35,-4.22,0.0,51.49
