timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T21:00:50.005811,ALL_Y3mm,-2.01,18.57,37.86,-1.95,18.51,43.12,-4.22,17.6,36.75
2026-07-15T21:00:50.059437,ALL_Y3mm,-2.08,18.51,37.86,-2.01,18.44,43.12,-4.35,17.66,36.82
2026-07-15T21:00:50.111948,ALL_Y3mm,-2.14,18.57,37.79,-1.95,18.44,43.18,-4.22,17.73,36.75
2026-07-15T21:00:50.164471,ALL_Y3mm,-2.21,18.7,37.79,-2.01,18.51,43.12,-4.16,17.79,36.82
2026-07-15T21:00:50.217644,ALL_Y3mm,-2.14,18.57,37.79,-2.08,18.51,42.99,-4.22,17.66,36.82
2026-07-15T21:00:50.270697,ALL_Y3mm,-2.14,18.64,37.73,-1.95,18.44,43.12,-4.22,17.66,36.75
2026-07-15T21:00:50.322772,ALL_Y3mm,-2.14,18.64,37.86,-1.95,18.64,43.12,-4.29,17.73,36.82
2026-07-15T21:00:50.390055,ALL_Y3mm,-2.08,18.57,37.73,-2.01,18.51,43.18,-4.09,17.73,36.82
2026-07-15T21:00:50.459556,ALL_Y3mm,-2.01,18.44,37.73,-1.95,18.38,43.05,-4.22,17.73,36.75
2026-07-15T21:00:50.484106,ALL_Y3mm,-2.14,18.51,37.73,-2.08,18.51,43.12,-4.29,17.79,36.95
2026-07-15T21:00:50.534287,ALL_Y3mm,-2.01,18.7,37.86,-2.01,18.51,42.99,-4.22,17.73,36.88
2026-07-15T21:00:50.587143,ALL_Y3mm,-2.21,18.64,37.79,-2.08,18.57,43.05,-4.35,17.66,36.82
2026-07-15T21:00:50.640165,ALL_Y3mm,-2.21,18.44,37.79,-1.95,18.51,43.05,-4.22,17.66,36.88
2026-07-15T21:00:50.693220,ALL_Y3mm,-2.08,18.51,37.86,-2.01,18.64,43.05,-4.29,17.6,36.69
2026-07-15T21:00:50.746296,ALL_Y3mm,-2.08,18.57,37.79,-2.08,18.57,43.05,-4.29,17.73,36.88
2026-07-15T21:00:50.798374,ALL_Y3mm,-2.21,18.57,37.79,-2.01,18.51,43.05,-4.22,17.66,36.82
2026-07-15T21:00:50.851188,ALL_Y3mm,-2.01,18.44,37.86,-2.01,18.44,42.99,-4.29,17.66,36.82
2026-07-15T21:00:50.904480,ALL_Y3mm,-2.01,18.51,37.79,-1.95,18.57,43.05,-4.22,17.66,36.69
2026-07-15T21:00:50.957585,ALL_Y3mm,-2.08,18.44,37.79,-1.95,18.51,42.99,-4.29,17.66,36.75
2026-07-15T21:00:51.010645,ALL_Y3mm,-2.21,18.51,37.79,-2.01,18.51,43.12,-4.22,17.66,36.82
2026-07-15T21:00:51.063220,ALL_Y3mm,-2.14,18.57,37.73,-2.01,18.51,43.12,-4.22,17.79,36.82
2026-07-15T21:00:51.116098,ALL_Y3mm,-2.08,18.64,37.73,-2.08,18.64,43.12,-4.09,17.66,36.82
2026-07-15T21:00:51.168814,ALL_Y3mm,-2.14,18.51,37.79,-1.88,18.44,43.12,-4.22,17.79,36.88
2026-07-15T21:00:51.221926,ALL_Y3mm,-2.01,18.57,37.79,-2.01,18.57,43.12,-4.22,17.6,36.82
2026-07-15T21:00:51.274124,ALL_Y3mm,-2.01,18.38,37.79,-2.08,18.51,43.05,-4.22,17.66,36.82
2026-07-15T21:00:51.327151,ALL_Y3mm,-2.14,18.51,37.73,-2.08,18.44,43.05,-4.22,17.6,36.88
2026-07-15T21:00:51.427665,ALL_Y3mm,-2.01,18.51,37.73,-2.14,18.64,42.99,-4.22,17.6,36.82
2026-07-15T21:00:51.451051,ALL_Y3mm,-2.14,18.51,37.86,-2.01,18.51,43.12,-4.29,17.73,36.95
2026-07-15T21:00:51.485084,ALL_Y3mm,-2.01,18.64,37.79,-1.95,18.57,43.12,-4.35,17.79,36.69
2026-07-15T21:00:51.538240,ALL_Y3mm,-2.14,18.51,37.79,-1.88,18.51,43.12,-4.29,17.73,36.88
2026-07-15T21:00:51.591381,ALL_Y3mm,-2.08,18.64,37.79,-2.01,18.51,43.05,-4.09,17.6,36.82
2026-07-15T21:00:51.643605,ALL_Y3mm,-2.14,18.51,37.79,-2.08,18.44,43.12,-4.22,17.73,36.75
2026-07-15T21:00:51.696494,ALL_Y3mm,-2.21,18.57,37.73,-2.08,18.57,43.12,-4.29,17.6,36.82
2026-07-15T21:00:51.749506,ALL_Y3mm,-2.01,18.57,37.79,-2.01,18.51,43.12,-4.29,17.73,36.69
2026-07-15T21:00:51.802833,ALL_Y3mm,-2.14,18.57,37.79,-2.21,18.44,43.12,-4.42,17.66,36.69
2026-07-15T21:00:51.855167,ALL_Y3mm,-2.21,18.51,37.79,-2.01,18.57,43.05,-4.16,17.73,36.88
2026-07-15T21:00:51.907720,ALL_Y3mm,-2.08,18.51,37.73,-2.01,18.51,43.12,-4.16,17.66,36.75
2026-07-15T21:00:51.960746,ALL_Y3mm,-2.08,18.44,37.86,-1.95,18.51,43.12,-4.29,17.73,36.82
2026-07-15T21:00:52.013875,ALL_Y3mm,-2.14,18.57,37.73,-1.95,18.51,43.18,-4.29,17.73,36.82
2026-07-15T21:00:52.065928,ALL_Y3mm,-2.08,18.51,37.79,-1.95,18.51,43.12,-4.22,17.66,36.69
2026-07-15T21:00:52.119407,ALL_Y3mm,-2.14,18.51,37.79,-2.01,18.51,43.12,-4.29,17.73,36.69
2026-07-15T21:00:52.172113,ALL_Y3mm,-2.08,18.57,37.79,-2.01,18.51,43.05,-4.16,17.6,36.82
2026-07-15T21:00:52.225216,ALL_Y3mm,-2.08,18.57,37.86,-2.01,18.44,43.12,-4.22,17.66,36.82
2026-07-15T21:00:52.277589,ALL_Y3mm,-2.08,18.51,37.79,-1.95,18.44,43.05,-4.22,17.73,36.75
2026-07-15T21:00:52.330061,ALL_Y3mm,-2.14,18.7,37.79,-2.08,18.51,43.12,-4.22,17.6,36.75
2026-07-15T21:00:52.423897,ALL_Y3mm,-2.08,18.64,37.86,-2.08,18.44,43.12,-4.16,17.73,36.69
2026-07-15T21:00:52.446643,ALL_Y3mm,-2.21,18.57,37.86,-2.01,18.51,43.12,-4.22,17.6,36.75
2026-07-15T21:00:52.488521,ALL_Y3mm,-2.14,18.7,37.79,-2.01,18.57,43.18,-4.29,17.73,36.88
2026-07-15T21:00:52.541501,ALL_Y3mm,-2.14,18.57,37.79,-2.01,18.38,43.12,-4.22,17.66,36.75
2026-07-15T21:00:52.594582,ALL_Y3mm,-2.08,18.51,37.73,-2.08,18.51,43.12,-4.22,17.53,36.82
2026-07-15T21:00:52.647687,ALL_Y3mm,-2.21,18.51,37.79,-2.01,18.51,43.05,-4.22,17.66,36.75
2026-07-15T21:00:52.700408,ALL_Y3mm,-2.21,18.57,37.79,-2.01,18.51,43.18,-4.29,17.66,36.88
2026-07-15T21:00:52.752761,ALL_Y3mm,-2.21,18.51,37.79,-1.95,18.51,43.05,-4.29,17.6,36.82
2026-07-15T21:00:52.805988,ALL_Y3mm,-2.08,18.57,37.73,-1.95,18.44,43.12,-4.29,17.73,36.69
2026-07-15T21:00:52.858307,ALL_Y3mm,-2.08,18.51,37.86,-2.01,18.44,43.05,-4.16,17.73,36.82
2026-07-15T21:00:52.911122,ALL_Y3mm,-2.08,18.57,37.73,-1.95,18.64,43.05,-4.29,17.73,36.82
2026-07-15T21:00:52.964169,ALL_Y3mm,-2.08,18.57,37.79,-1.88,18.57,43.12,-4.29,17.66,36.75
