timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T21:06:12.369149,ALL_Y-3mm,-2.92,-17.34,37.99,-1.23,-21.23,40.26,-2.79,-18.7,35.91
2026-07-15T21:06:12.436233,ALL_Y-3mm,-2.99,-17.47,37.99,-1.3,-21.3,40.32,-2.92,-18.64,35.97
2026-07-15T21:06:12.462183,ALL_Y-3mm,-2.92,-17.47,37.99,-1.17,-21.1,40.19,-2.86,-18.64,36.04
2026-07-15T21:06:12.517544,ALL_Y-3mm,-2.99,-17.47,37.92,-1.1,-21.3,40.32,-2.79,-18.51,35.91
2026-07-15T21:06:12.567622,ALL_Y-3mm,-2.86,-17.47,37.99,-1.23,-21.3,40.19,-2.86,-18.7,35.91
2026-07-15T21:06:12.620510,ALL_Y-3mm,-2.92,-17.53,37.99,-1.23,-21.23,40.19,-2.92,-18.7,35.97
2026-07-15T21:06:12.673365,ALL_Y-3mm,-2.86,-17.47,37.99,-1.23,-21.17,40.26,-2.79,-18.64,35.97
2026-07-15T21:06:12.726465,ALL_Y-3mm,-3.05,-17.53,37.92,-1.17,-21.3,40.32,-2.79,-18.57,35.97
2026-07-15T21:06:12.779647,ALL_Y-3mm,-2.92,-17.53,37.92,-1.23,-21.23,40.26,-2.99,-18.7,36.04
2026-07-15T21:06:12.832050,ALL_Y-3mm,-2.99,-17.4,37.92,-1.23,-21.23,40.26,-2.86,-18.7,35.91
2026-07-15T21:06:12.885785,ALL_Y-3mm,-2.99,-17.47,37.99,-1.17,-21.23,40.32,-2.86,-18.64,36.04
2026-07-15T21:06:12.937984,ALL_Y-3mm,-2.92,-17.6,37.99,-1.17,-21.17,40.32,-2.79,-18.64,35.91
2026-07-15T21:06:12.991269,ALL_Y-3mm,-2.99,-17.47,37.99,-1.23,-21.23,40.26,-2.66,-18.7,35.97
2026-07-15T21:06:13.043837,ALL_Y-3mm,-2.99,-17.47,38.05,-1.1,-21.23,40.32,-2.86,-18.64,35.91
2026-07-15T21:06:13.096430,ALL_Y-3mm,-2.92,-17.47,37.99,-1.3,-21.3,40.26,-2.86,-18.64,35.91
2026-07-15T21:06:13.149274,ALL_Y-3mm,-2.92,-17.53,37.99,-1.23,-21.23,40.32,-2.79,-18.57,35.91
2026-07-15T21:06:13.202283,ALL_Y-3mm,-2.99,-17.47,37.99,-1.23,-21.3,40.32,-2.86,-18.57,35.91
2026-07-15T21:06:13.255109,ALL_Y-3mm,-2.99,-17.4,37.99,-1.23,-21.17,40.32,-2.79,-18.64,35.91
2026-07-15T21:06:13.308570,ALL_Y-3mm,-2.86,-17.34,37.92,-1.17,-21.23,40.32,-2.86,-18.57,35.84
2026-07-15T21:06:13.377617,ALL_Y-3mm,-2.92,-17.47,37.99,-1.17,-21.23,40.32,-2.86,-18.7,35.84
2026-07-15T21:06:13.448352,ALL_Y-3mm,-2.86,-17.47,37.99,-1.1,-21.17,40.26,-2.86,-18.64,35.84
2026-07-15T21:06:13.471010,ALL_Y-3mm,-2.92,-17.4,37.92,-1.1,-21.3,40.26,-2.79,-18.7,35.91
2026-07-15T21:06:13.519492,ALL_Y-3mm,-2.92,-17.47,37.92,-1.17,-21.1,40.32,-2.66,-18.7,35.84
2026-07-15T21:06:13.572494,ALL_Y-3mm,-2.92,-17.4,38.05,-1.1,-21.3,40.26,-2.92,-18.57,35.84
2026-07-15T21:06:13.625626,ALL_Y-3mm,-2.92,-17.47,37.99,-1.17,-21.17,40.26,-2.73,-18.7,35.97
2026-07-15T21:06:13.678883,ALL_Y-3mm,-2.92,-17.47,37.92,-1.23,-21.23,40.19,-2.86,-18.7,36.04
2026-07-15T21:06:13.730759,ALL_Y-3mm,-2.92,-17.34,38.05,-1.17,-21.3,40.26,-2.79,-18.57,36.04
2026-07-15T21:06:13.783818,ALL_Y-3mm,-2.79,-17.4,37.99,-1.3,-21.23,40.26,-2.86,-18.51,35.97
2026-07-15T21:06:13.836861,ALL_Y-3mm,-2.92,-17.53,37.99,-1.1,-21.3,40.19,-2.92,-18.7,35.91
