timestamp_iso,target_label,s1_x,s1_y,s1_z,s2_x,s2_y,s2_z,s3_x,s3_y,s3_z
2026-07-15T21:13:04.123926,ALL_RY12deg,-20.65,1.62,33.9,-6.17,-0.78,18.9,-65.26,0.71,65.58
2026-07-15T21:13:04.177314,ALL_RY12deg,-20.52,1.69,33.77,-6.17,-0.91,18.83,-65.39,0.97,65.58
2026-07-15T21:13:04.230459,ALL_RY12deg,-20.52,1.62,33.83,-6.17,-0.84,18.9,-65.39,0.84,65.65
2026-07-15T21:13:04.283171,ALL_RY12deg,-20.45,1.62,33.9,-6.04,-0.78,18.83,-65.39,0.84,65.58
2026-07-15T21:13:04.335785,ALL_RY12deg,-20.45,1.62,33.83,-6.23,-0.84,18.9,-65.39,0.84,65.58
2026-07-15T21:13:04.466540,ALL_RY12deg,-20.65,1.62,33.9,-6.1,-0.78,18.83,-65.39,0.91,65.45
2026-07-15T21:13:04.467724,ALL_RY12deg,-20.65,1.69,33.77,-6.04,-0.84,18.9,-65.39,0.78,65.65
2026-07-15T21:13:04.498791,ALL_RY12deg,-20.52,1.69,33.83,-6.23,-0.91,18.77,-65.39,0.78,65.52
2026-07-15T21:13:04.546640,ALL_RY12deg,-20.52,1.62,33.9,-6.17,-0.78,18.83,-65.26,0.97,65.45
2026-07-15T21:13:04.599842,ALL_RY12deg,-20.58,1.49,33.83,-6.17,-0.84,18.77,-65.26,0.84,65.71
2026-07-15T21:13:04.652372,ALL_RY12deg,-20.52,1.82,33.83,-6.23,-0.78,18.83,-65.45,0.84,65.58
2026-07-15T21:13:04.705923,ALL_RY12deg,-20.58,1.62,33.83,-6.04,-0.78,18.83,-65.45,0.91,65.58
2026-07-15T21:13:04.759018,ALL_RY12deg,-20.65,1.62,33.77,-6.23,-0.78,18.9,-65.39,0.84,65.45
2026-07-15T21:13:04.810932,ALL_RY12deg,-20.58,1.62,33.9,-6.17,-0.84,18.83,-65.19,0.78,65.71
2026-07-15T21:13:04.863869,ALL_RY12deg,-20.52,1.69,33.9,-6.1,-0.65,18.77,-65.52,0.91,65.58
2026-07-15T21:13:04.916675,ALL_RY12deg,-20.58,1.75,33.83,-6.1,-0.78,18.77,-65.32,0.84,65.65
2026-07-15T21:13:04.970223,ALL_RY12deg,-20.58,1.62,33.96,-6.1,-0.71,18.77,-65.45,0.84,65.65
2026-07-15T21:13:05.023341,ALL_RY12deg,-20.58,1.62,33.77,-6.1,-0.78,18.77,-65.32,0.91,65.58
2026-07-15T21:13:05.075836,ALL_RY12deg,-20.58,1.75,33.83,-6.23,-0.71,18.83,-65.39,0.71,65.52
2026-07-15T21:13:05.128626,ALL_RY12deg,-20.52,1.62,33.9,-6.1,-0.78,18.96,-65.32,0.84,65.58
2026-07-15T21:13:05.181360,ALL_RY12deg,-20.58,1.62,33.83,-6.1,-0.71,18.83,-65.39,0.78,65.52
2026-07-15T21:13:05.234244,ALL_RY12deg,-20.52,1.69,33.83,-6.23,-0.78,18.77,-65.39,0.97,65.45
2026-07-15T21:13:05.286566,ALL_RY12deg,-20.58,1.62,33.9,-6.1,-0.78,18.77,-65.32,0.91,65.58
2026-07-15T21:13:05.339365,ALL_RY12deg,-20.65,1.75,33.77,-6.17,-0.78,18.83,-65.32,0.84,65.58
2026-07-15T21:13:05.445963,ALL_RY12deg,-20.45,1.75,33.9,-6.1,-0.84,18.77,-65.39,0.78,65.65
2026-07-15T21:13:05.446248,ALL_RY12deg,-20.52,1.75,33.9,-6.17,-0.71,18.77,-65.39,0.78,65.71
2026-07-15T21:13:05.498906,ALL_RY12deg,-20.52,1.62,33.9,-6.17,-0.78,18.9,-65.32,0.71,65.65
